Type,Number of props,Utterance,Ground truth,Response,Success
global_avoidance,2,"always keep away from UCLA Extension - Westwood Village Center, and Mio Babbo's","('UCLA Extension - Westwood Village Center', ""Mio Babbo's"")",UCLA Extension - Westwood Village Center | Mio Babbo's,True
global_avoidance,3,"UCLA Extension - Westwood Village Center, Novel Cafe Westwood, and Urban Outfitters, should never be visited","('UCLA Extension - Westwood Village Center', 'Novel Cafe Westwood', 'Urban Outfitters')",UCLA Extension - Westwood Village Center | Novel Cafe Westwood | Urban Outfitters,True
global_avoidance,4,"never go to Victoria's Secret, never go to bibigo, never go to Parking 36, and never go to Poke Bar","(""Victoria's Secret"", 'bibigo', 'Parking 36', 'Poke Bar')",Victoria's Secret | bibigo | Parking 36 | Poke Bar,True
global_avoidance,5,"The Gayley Building, Iso Fusion Café, Gayley Center, Peet's Coffee & Tea, and London Cleaners, should never be reached","('The Gayley Building', 'Iso Fusion Café', 'Gayley Center', ""Peet's Coffee & Tea"", 'London Cleaners')",The Gayley Building | Iso Fusion Café | Gayley Center | Peet's Coffee & Tea | London Cleaners,True
past_avoidance,2,"until you have gone to Occidental Petroleum Heliport, you can not go to Janss Dome","('Janss Dome', 'Occidental Petroleum Heliport')",Occidental Petroleum Heliport | Janss Dome,True
upper_restricted_avoidance,1,"visiting UCLA Extension - Lindbrook Center, more than once is prohibited","('UCLA Extension - Lindbrook Center',)",UCLA Extension - Lindbrook Center,True
upper_restricted_avoidance,2,"visiting Stone Canyon Creek (underground), more than twice is prohibited","(""Peet's Coffee & Tea"", 'Stone Canyon Creek (underground)')",Stone Canyon Creek (underground),False
upper_restricted_avoidance,3,"visiting Stone Canyon Creek (underground), more than three times is prohibited","('Subway', 'Red Pelican Music', 'Stone Canyon Creek (underground)')",Stone Canyon Creek (underground),False
upper_restricted_avoidance,4,"visiting Nature's Way Café, more than four times is prohibited","('Mongol BBQ', 'Parking 36', ""Westwood's Village Square"", ""Nature's Way Café"")",Nature's Way Café,False
upper_restricted_avoidance,5,"visiting Westwood's Village Square, more than five times is prohibited","('Red Pelican Music', ""Nature's Way Café"", 'UTLA Beauty', 'Kinross Building South', ""Westwood's Village Square"")",Westwood's Village Square,False
lower_restricted_avoidance,1,"make sure you visit Victoria's Secret, one or more times","(""Victoria's Secret"",)",Victoria's Secret,True
lower_restricted_avoidance,2,"make sure you visit TCT Foods, two or more times","('Veggie Grill', 'TCT Foods')",TCT Foods,False
lower_restricted_avoidance,3,"make sure you visit Mio Babbo's, three or more times","('Gayley Center', 'Janss Dome', ""Mio Babbo's"")",Mio Babbo's,False
lower_restricted_avoidance,4,"make sure you visit Poke Bar, four or more times","('Veggie Grill', 'UCLA Extension - Westwood Village Center', 'London Cleaners', 'Poke Bar')",Poke Bar,False
lower_restricted_avoidance,5,"make sure you visit Victoria's Secret, five or more times","(""Noah's Bagels"", 'Native Foods', 'Iso Fusion Café', ""Denny's"", ""Victoria's Secret"")",Victoria's Secret,False
exact_restricted_avoidance,1,"go to UCLA Extension - Westwood Village Center, once and do not visit it anymore","('UCLA Extension - Westwood Village Center',)",UCLA Extension - Westwood Village Center,True
exact_restricted_avoidance,2,"go to bibigo, twice and do not visit it anymore","('Parking 36', 'bibigo')",bibigo,False
exact_restricted_avoidance,3,"go to Stone Canyon Creek (underground), three times and do not visit it anymore","('Janss Dome', ""Ike's Place"", 'Stone Canyon Creek (underground)')",Stone Canyon Creek (underground),False
exact_restricted_avoidance,4,"go to Westwood Sporting Goods, four times and do not visit it anymore","('Red Pelican Music', 'UTLA Beauty', 'The Gayley Building', 'Westwood Sporting Goods')",Westwood Sporting Goods,False
exact_restricted_avoidance,5,"go to Parking 32, five times and do not visit it anymore","('Gayley Center', ""Peet's Coffee & Tea"", 'TCT Foods', 'The Gayley Building', 'Parking 32')",Parking 32,False
future_avoidance,2,"once you go to Yogurtland, you have to avoid TCT Foods, at all costs","('Yogurtland', 'TCT Foods')",Yogurtland | TCT Foods,True
delayed_reaction,2,"once you go to Ike's Place, you must go to Peet's Coffee & Tea","(""Ike's Place"", ""Peet's Coffee & Tea"")",Ike's Place | Peet's Coffee & Tea,True
bound_delay,2,"you must visit Mio Babbo's, once you go to Yogurtland, and you must avoid Mio Babbo's, any other time","('Yogurtland', ""Mio Babbo's"")",Mio Babbo's | Yogurtland,True
wait,2,"you must keep going on Gayley Center, until you get to UCLA Extension - Lindbrook Center","('Gayley Center', 'UCLA Extension - Lindbrook Center')",Gayley Center | UCLA Extension - Lindbrook Center,True
prompt_reaction,2,"do not go to anywhere but bibigo, once you visit Denny's","(""Denny's"", 'bibigo')",bibigo | Denny's,True
