Type,Number of props,Utterance,Ground truth,Response,Success
global_avoidance,4,"never go to my thai vegan cafe, never go to HI Boston, never go to Cutler Majestic Theater, and never go to St. James Church","('my thai vegan cafe', 'HI Boston', 'Cutler Majestic Theater', 'St. James Church')",my thai vegan cafe | HI Boston | Cutler Majestic Theater | St. James Church,True
global_avoidance,5,"Tufts University School of Medicine, Wirth Building, Emerson College, HI Boston, and Tufts Dental School, should never be reached","('Tufts University School of Medicine', 'Wirth Building', 'Emerson College', 'HI Boston', 'Tufts Dental School')",Tufts University School of Medicine | Wirth Building | Emerson College | HI Boston | Tufts Dental School,True
past_avoidance,2,"until you have gone to Boston Kitchen Pizza, you can not go to Panera Bread","('Panera Bread', 'Boston Kitchen Pizza')",Boston Kitchen Pizza | Panera Bread,True
upper_restricted_avoidance,1,"visiting Wilbur Theatre, more than once is prohibited","('Wilbur Theatre',)",Wilbur Theatre,True
upper_restricted_avoidance,2,"visiting Washington St @ Kneeland St, more than twice is prohibited","('Boston Kitchen Pizza', 'Washington St @ Kneeland St')",Washington St @ Kneeland St,False
upper_restricted_avoidance,3,"visiting Panera Bread, more than three times is prohibited","('Seybolt Park', 'The Kensington', 'Panera Bread')",Panera Bread,False
upper_restricted_avoidance,4,"visiting Tufts Dental School, more than four times is prohibited","('Kneeland St @ Washington St', 'Wang Theater', 'Massachusetts State Transportation Building', 'Tufts Dental School')",Tufts Dental School,False
upper_restricted_avoidance,5,"visiting Kneeland St @ Washington St, more than five times is prohibited","('Happy Lamb Hot Pot', 'Jiaho supermarket', 'Tremont and Stuart Streets', 'New Saigon Sandwich', 'Kneeland St @ Washington St')",Kneeland St @ Washington St,False
lower_restricted_avoidance,1,"make sure you visit St. James Church, one or more times","('St. James Church',)",St. James Church,True
lower_restricted_avoidance,2,"make sure you visit Wirth Building, two or more times","('AVA Theater District', 'Wirth Building')",Wirth Building,False
lower_restricted_avoidance,3,"make sure you visit Chinatown, three or more times","('Genki Ya', 'Wirth Building', 'Chinatown')",Chinatown,False
lower_restricted_avoidance,4,"make sure you visit Seybolt Park, four or more times","('St. James Church', 'Emerson College', 'Dumpling Cafe', 'Seybolt Park')",Seybolt Park,False
lower_restricted_avoidance,5,"make sure you visit Boston Kitchen Pizza, five or more times","('Wilbur Theatre', 'AVA Theater District', 'Emerson College', 'Wang Theater', 'Boston Kitchen Pizza')",Boston Kitchen Pizza,False
exact_restricted_avoidance,1,"go to Chinatown, once and do not visit it anymore","('Chinatown',)",Chinatown,True
exact_restricted_avoidance,2,"go to Kneeland St @ Washington St, twice and do not visit it anymore","('Emerson College', 'Kneeland St @ Washington St')",Kneeland St @ Washington St,False
exact_restricted_avoidance,3,"go to The Kensington, three times and do not visit it anymore","('Panera Bread', 'Tufts University Hirsh Health Sciences Library', 'The Kensington')",The Kensington,False
exact_restricted_avoidance,4,"go to New Saigon Sandwich, four times and do not visit it anymore","('Jiaho supermarket', '62 on the Park', 'Tremont and Stuart Streets', 'New Saigon Sandwich')",New Saigon Sandwich,False
exact_restricted_avoidance,5,"go to Dumpling Cafe, five times and do not visit it anymore","('Seybolt Park', 'Washington St @ Tufts Med Ctr', 'Tufts University Hirsh Health Sciences Library', 'Genki Ya', 'Dumpling Cafe')",Dumpling Cafe,False
future_avoidance,2,"once you go to The Kensington, you have to avoid Empire Garden Restaurant, at all costs","('The Kensington', 'Empire Garden Restaurant')",The Kensington | Empire Garden Restaurant,True
delayed_reaction,2,"once you go to Massachusetts State Transportation Building, you must go to Jiaho supermarket","('Massachusetts State Transportation Building', 'Jiaho supermarket')",Massachusetts State Transportation Building | Jiaho supermarket,True
bound_delay,2,"you must visit Seybolt Park, once you go to The Kensington, and you must avoid Seybolt Park, any other time","('The Kensington', 'Seybolt Park')",Seybolt Park | The Kensington,True
wait,2,"you must keep going on Tufts Dental School, until you get to HI Boston","('Tufts Dental School', 'HI Boston')",Tufts Dental School | HI Boston,True
prompt_reaction,2,"do not go to anywhere but Dunkin' Donuts, once you visit Genki Ya","('Genki Ya', ""Dunkin' Donuts"")",Dunkin' Donuts | Genki Ya,True
