utterance,ltl_formula
visit a d c h and b,& F a & F d & F c & F h F b
visit a d h b and c,& F a & F d & F h & F b F c
visit a d h c and b,& F a & F d & F h & F c F b
visit a h b c and d,& F a & F h & F b & F c F d
visit a h b d and c,& F a & F h & F b & F d F c
visit a h c b and d,& F a & F h & F c & F b F d
visit a h c d and b,& F a & F h & F c & F d F b
visit a h d b and c,& F a & F h & F d & F b F c
visit a h d c and b,& F a & F h & F d & F c F b
visit b a c d and h,& F b & F a & F c & F d F h
visit b a c h and d,& F b & F a & F c & F h F d
visit b a d c and h,& F b & F a & F d & F c F h
visit b a d h and c,& F b & F a & F d & F h F c
visit b a h c and d,& F b & F a & F h & F c F d
visit b a h d and c,& F b & F a & F h & F d F c
visit b c a d and h,& F b & F c & F a & F d F h
visit b c a h and d,& F b & F c & F a & F h F d
visit b c d a and h,& F b & F c & F d & F a F h
visit b c d h and a,& F b & F c & F d & F h F a
visit b c h a and d,& F b & F c & F h & F a F d
visit b c h d and a,& F b & F c & F h & F d F a
visit b d a c and h,& F b & F d & F a & F c F h
visit b d a h and c,& F b & F d & F a & F h F c
visit b d c a and h,& F b & F d & F c & F a F h
visit b d c h and a,& F b & F d & F c & F h F a
visit b d h a and c,& F b & F d & F h & F a F c
visit b d h c and a,& F b & F d & F h & F c F a
visit b h a c and d,& F b & F h & F a & F c F d
visit b h a d and c,& F b & F h & F a & F d F c
visit b h c a and d,& F b & F h & F c & F a F d
visit b h c d and a,& F b & F h & F c & F d F a
visit b h d a and c,& F b & F h & F d & F a F c
visit b h d c and a,& F b & F h & F d & F c F a
visit c a b d and h,& F c & F a & F b & F d F h
visit c a b h and d,& F c & F a & F b & F h F d
visit c a d b and h,& F c & F a & F d & F b F h
visit c a d h and b,& F c & F a & F d & F h F b
visit c a h b and d,& F c & F a & F h & F b F d
visit c a h d and b,& F c & F a & F h & F d F b
visit c b a d and h,& F c & F b & F a & F d F h
visit c b a h and d,& F c & F b & F a & F h F d
visit c b d a and h,& F c & F b & F d & F a F h
visit c b d h and a,& F c & F b & F d & F h F a
visit c b h a and d,& F c & F b & F h & F a F d
visit c b h d and a,& F c & F b & F h & F d F a
visit c d a b and h,& F c & F d & F a & F b F h
visit c d a h and b,& F c & F d & F a & F h F b
visit c d b a and h,& F c & F d & F b & F a F h
visit c d b h and a,& F c & F d & F b & F h F a
visit c d h a and b,& F c & F d & F h & F a F b
visit c d h b and a,& F c & F d & F h & F b F a
visit c h a b and d,& F c & F h & F a & F b F d
visit c h a d and b,& F c & F h & F a & F d F b
visit c h b a and d,& F c & F h & F b & F a F d
visit c h b d and a,& F c & F h & F b & F d F a
visit c h d a and b,& F c & F h & F d & F a F b
visit c h d b and a,& F c & F h & F d & F b F a
visit d a b c and h,& F d & F a & F b & F c F h
visit d a b h and c,& F d & F a & F b & F h F c
visit d a c b and h,& F d & F a & F c & F b F h
visit d a c h and b,& F d & F a & F c & F h F b
visit d a h b and c,& F d & F a & F h & F b F c
visit d a h c and b,& F d & F a & F h & F c F b
visit d b a c and h,& F d & F b & F a & F c F h
visit d b a h and c,& F d & F b & F a & F h F c
visit d b c a and h,& F d & F b & F c & F a F h
visit d b c h and a,& F d & F b & F c & F h F a
visit d b h a and c,& F d & F b & F h & F a F c
visit d b h c and a,& F d & F b & F h & F c F a
visit d c a b and h,& F d & F c & F a & F b F h
visit d c a h and b,& F d & F c & F a & F h F b
visit d c b a and h,& F d & F c & F b & F a F h
visit d c b h and a,& F d & F c & F b & F h F a
visit d c h a and b,& F d & F c & F h & F a F b
visit d c h b and a,& F d & F c & F h & F b F a
visit d h a b and c,& F d & F h & F a & F b F c
visit d h a c and b,& F d & F h & F a & F c F b
visit d h b a and c,& F d & F h & F b & F a F c
visit d h b c and a,& F d & F h & F b & F c F a
visit d h c a and b,& F d & F h & F c & F a F b
visit d h c b and a,& F d & F h & F c & F b F a
visit h a b c and d,& F h & F a & F b & F c F d
visit h a b d and c,& F h & F a & F b & F d F c
visit h a c b and d,& F h & F a & F c & F b F d
visit h a c d and b,& F h & F a & F c & F d F b
visit h a d b and c,& F h & F a & F d & F b F c
visit h a d c and b,& F h & F a & F d & F c F b
visit h b a c and d,& F h & F b & F a & F c F d
visit h b a d and c,& F h & F b & F a & F d F c
visit h b c a and d,& F h & F b & F c & F a F d
visit h b c d and a,& F h & F b & F c & F d F a
visit h b d a and c,& F h & F b & F d & F a F c
visit h b d c and a,& F h & F b & F d & F c F a
visit h c a b and d,& F h & F c & F a & F b F d
visit h c a d and b,& F h & F c & F a & F d F b
visit h c b a and d,& F h & F c & F b & F a F d
visit h c b d and a,& F h & F c & F b & F d F a
visit h c d a and b,& F h & F c & F d & F a F b
visit h c d b and a,& F h & F c & F d & F b F a
visit h d a b and c,& F h & F d & F a & F b F c
visit h d a c and b,& F h & F d & F a & F c F b
visit h d b a and c,& F h & F d & F b & F a F c
visit h d b c and a,& F h & F d & F b & F c F a
visit h d c a and b,& F h & F d & F c & F a F b
visit h d c b and a,& F h & F d & F c & F b F a
sometime visit a c b h and d,& F a & F b & F c & F d F h
sometime visit a c b d and h,& F a & F b & F c & F h F d
sometime visit a d b h and c,& F a & F b & F d & F c F h
sometime visit a d b c and h,& F a & F b & F d & F h F c
sometime visit a h b d and c,& F a & F b & F h & F c F d
sometime visit a h b c and d,& F a & F b & F h & F d F c
sometime visit a b c h and d,& F a & F c & F b & F d F h
sometime visit a b c d and h,& F a & F c & F b & F h F d
sometime visit a d c h and b,& F a & F c & F d & F b F h
sometime visit a d c b and h,& F a & F c & F d & F h F b
sometime visit a h c d and b,& F a & F c & F h & F b F d
sometime visit a h c b and d,& F a & F c & F h & F d F b
sometime visit a b d h and c,& F a & F d & F b & F c F h
sometime visit a b d c and h,& F a & F d & F b & F h F c
sometime visit a c d h and b,& F a & F d & F c & F b F h
sometime visit a c d b and h,& F a & F d & F c & F h F b
sometime visit a h d c and b,& F a & F d & F h & F b F c
sometime visit a h d b and c,& F a & F d & F h & F c F b
sometime visit a b h d and c,& F a & F h & F b & F c F d
sometime visit a b h c and d,& F a & F h & F b & F d F c
sometime visit a c h d and b,& F a & F h & F c & F b F d
sometime visit a c h b and d,& F a & F h & F c & F d F b
sometime visit a d h c and b,& F a & F h & F d & F b F c
sometime visit a d h b and c,& F a & F h & F d & F c F b
sometime visit b c a h and d,& F b & F a & F c & F d F h
sometime visit b c a d and h,& F b & F a & F c & F h F d
sometime visit b d a h and c,& F b & F a & F d & F c F h
sometime visit b d a c and h,& F b & F a & F d & F h F c
sometime visit b h a d and c,& F b & F a & F h & F c F d
sometime visit b h a c and d,& F b & F a & F h & F d F c
sometime visit b a c h and d,& F b & F c & F a & F d F h
sometime visit b a c d and h,& F b & F c & F a & F h F d
sometime visit b d c h and a,& F b & F c & F d & F a F h
sometime visit b d c a and h,& F b & F c & F d & F h F a
sometime visit b h c d and a,& F b & F c & F h & F a F d
sometime visit b h c a and d,& F b & F c & F h & F d F a
sometime visit b a d h and c,& F b & F d & F a & F c F h
sometime visit b a d c and h,& F b & F d & F a & F h F c
sometime visit b c d h and a,& F b & F d & F c & F a F h
sometime visit b c d a and h,& F b & F d & F c & F h F a
sometime visit b h d c and a,& F b & F d & F h & F a F c
sometime visit b h d a and c,& F b & F d & F h & F c F a
sometime visit b a h d and c,& F b & F h & F a & F c F d
sometime visit b a h c and d,& F b & F h & F a & F d F c
sometime visit b c h d and a,& F b & F h & F c & F a F d
sometime visit b c h a and d,& F b & F h & F c & F d F a
sometime visit b d h c and a,& F b & F h & F d & F a F c
sometime visit b d h a and c,& F b & F h & F d & F c F a
sometime visit c b a h and d,& F c & F a & F b & F d F h
sometime visit c b a d and h,& F c & F a & F b & F h F d
sometime visit c d a h and b,& F c & F a & F d & F b F h
sometime visit c d a b and h,& F c & F a & F d & F h F b
sometime visit c h a d and b,& F c & F a & F h & F b F d
sometime visit c h a b and d,& F c & F a & F h & F d F b
sometime visit c a b h and d,& F c & F b & F a & F d F h
sometime visit c a b d and h,& F c & F b & F a & F h F d
sometime visit c d b h and a,& F c & F b & F d & F a F h
sometime visit c d b a and h,& F c & F b & F d & F h F a
sometime visit c h b d and a,& F c & F b & F h & F a F d
sometime visit c h b a and d,& F c & F b & F h & F d F a
sometime visit c a d h and b,& F c & F d & F a & F b F h
sometime visit c a d b and h,& F c & F d & F a & F h F b
sometime visit c b d h and a,& F c & F d & F b & F a F h
sometime visit c b d a and h,& F c & F d & F b & F h F a
sometime visit c h d b and a,& F c & F d & F h & F a F b
sometime visit c h d a and b,& F c & F d & F h & F b F a
sometime visit c a h d and b,& F c & F h & F a & F b F d
sometime visit c a h b and d,& F c & F h & F a & F d F b
sometime visit c b h d and a,& F c & F h & F b & F a F d
sometime visit c b h a and d,& F c & F h & F b & F d F a
sometime visit c d h b and a,& F c & F h & F d & F a F b
sometime visit c d h a and b,& F c & F h & F d & F b F a
sometime visit d b a h and c,& F d & F a & F b & F c F h
sometime visit d b a c and h,& F d & F a & F b & F h F c
sometime visit d c a h and b,& F d & F a & F c & F b F h
sometime visit d c a b and h,& F d & F a & F c & F h F b
sometime visit d h a c and b,& F d & F a & F h & F b F c
sometime visit d h a b and c,& F d & F a & F h & F c F b
sometime visit d a b h and c,& F d & F b & F a & F c F h
sometime visit d a b c and h,& F d & F b & F a & F h F c
sometime visit d c b h and a,& F d & F b & F c & F a F h
sometime visit d c b a and h,& F d & F b & F c & F h F a
sometime visit d h b c and a,& F d & F b & F h & F a F c
sometime visit d h b a and c,& F d & F b & F h & F c F a
sometime visit d a c h and b,& F d & F c & F a & F b F h
sometime visit d a c b and h,& F d & F c & F a & F h F b
sometime visit d b c h and a,& F d & F c & F b & F a F h
sometime visit d b c a and h,& F d & F c & F b & F h F a
sometime visit d h c b and a,& F d & F c & F h & F a F b
sometime visit d h c a and b,& F d & F c & F h & F b F a
sometime visit d a h c and b,& F d & F h & F a & F b F c
sometime visit d a h b and c,& F d & F h & F a & F c F b
sometime visit d b h c and a,& F d & F h & F b & F a F c
sometime visit d b h a and c,& F d & F h & F b & F c F a
sometime visit d c h b and a,& F d & F h & F c & F a F b
sometime visit d c h a and b,& F d & F h & F c & F b F a
sometime visit h b a d and c,& F h & F a & F b & F c F d
sometime visit h b a c and d,& F h & F a & F b & F d F c
sometime visit h c a d and b,& F h & F a & F c & F b F d
sometime visit h c a b and d,& F h & F a & F c & F d F b
sometime visit h d a c and b,& F h & F a & F d & F b F c
sometime visit h d a b and c,& F h & F a & F d & F c F b
sometime visit h a b d and c,& F h & F b & F a & F c F d
sometime visit h a b c and d,& F h & F b & F a & F d F c
sometime visit h c b d and a,& F h & F b & F c & F a F d
sometime visit h c b a and d,& F h & F b & F c & F d F a
sometime visit h d b c and a,& F h & F b & F d & F a F c
sometime visit h d b a and c,& F h & F b & F d & F c F a
sometime visit h a c d and b,& F h & F c & F a & F b F d
sometime visit h a c b and d,& F h & F c & F a & F d F b
sometime visit h b c d and a,& F h & F c & F b & F a F d
sometime visit h b c a and d,& F h & F c & F b & F d F a
sometime visit h d c b and a,& F h & F c & F d & F a F b
sometime visit h d c a and b,& F h & F c & F d & F b F a
sometime visit h a d c and b,& F h & F d & F a & F b F c
sometime visit h a d b and c,& F h & F d & F a & F c F b
sometime visit h b d c and a,& F h & F d & F b & F a F c
sometime visit h b d a and c,& F h & F d & F b & F c F a
sometime visit h c d b and a,& F h & F d & F c & F a F b
sometime visit h c d a and b,& F h & F d & F c & F b F a
eventually go visit a b h d and c,& F a & F b & F c & F d F h
eventually go visit a b d h and c,& F a & F b & F c & F h F d
eventually go visit a b h c and d,& F a & F b & F d & F c F h
eventually go visit a b c h and d,& F a & F b & F d & F h F c
eventually go visit a b d c and h,& F a & F b & F h & F c F d
eventually go visit a b c d and h,& F a & F b & F h & F d F c
eventually go visit a c h d and b,& F a & F c & F b & F d F h
eventually go visit a c d h and b,& F a & F c & F b & F h F d
eventually go visit a c h b and d,& F a & F c & F d & F b F h
eventually go visit a c b h and d,& F a & F c & F d & F h F b
eventually go visit a c d b and h,& F a & F c & F h & F b F d
eventually go visit a c b d and h,& F a & F c & F h & F d F b
eventually go visit a d h c and b,& F a & F d & F b & F c F h
eventually go visit a d c h and b,& F a & F d & F b & F h F c
eventually go visit a d h b and c,& F a & F d & F c & F b F h
eventually go visit a d b h and c,& F a & F d & F c & F h F b
eventually go visit a d c b and h,& F a & F d & F h & F b F c
eventually go visit a d b c and h,& F a & F d & F h & F c F b
eventually go visit a h d c and b,& F a & F h & F b & F c F d
eventually go visit a h c d and b,& F a & F h & F b & F d F c
eventually go visit a h d b and c,& F a & F h & F c & F b F d
eventually go visit a h b d and c,& F a & F h & F c & F d F b
eventually go visit a h c b and d,& F a & F h & F d & F b F c
eventually go visit a h b c and d,& F a & F h & F d & F c F b
eventually go visit b a h d and c,& F b & F a & F c & F d F h
eventually go visit b a d h and c,& F b & F a & F c & F h F d
eventually go visit b a h c and d,& F b & F a & F d & F c F h
eventually go visit b a c h and d,& F b & F a & F d & F h F c
eventually go visit b a d c and h,& F b & F a & F h & F c F d
eventually go visit b a c d and h,& F b & F a & F h & F d F c
eventually go visit b c h d and a,& F b & F c & F a & F d F h
eventually go visit b c d h and a,& F b & F c & F a & F h F d
eventually go visit b c h a and d,& F b & F c & F d & F a F h
eventually go visit b c a h and d,& F b & F c & F d & F h F a
eventually go visit b c d a and h,& F b & F c & F h & F a F d
eventually go visit b c a d and h,& F b & F c & F h & F d F a
eventually go visit b d h c and a,& F b & F d & F a & F c F h
eventually go visit b d c h and a,& F b & F d & F a & F h F c
eventually go visit b d h a and c,& F b & F d & F c & F a F h
eventually go visit b d a h and c,& F b & F d & F c & F h F a
eventually go visit b d c a and h,& F b & F d & F h & F a F c
eventually go visit b d a c and h,& F b & F d & F h & F c F a
eventually go visit b h d c and a,& F b & F h & F a & F c F d
eventually go visit b h c d and a,& F b & F h & F a & F d F c
eventually go visit b h d a and c,& F b & F h & F c & F a F d
eventually go visit b h a d and c,& F b & F h & F c & F d F a
eventually go visit b h c a and d,& F b & F h & F d & F a F c
eventually go visit b h a c and d,& F b & F h & F d & F c F a
eventually go visit c a h d and b,& F c & F a & F b & F d F h
eventually go visit c a d h and b,& F c & F a & F b & F h F d
eventually go visit c a h b and d,& F c & F a & F d & F b F h
eventually go visit c a b h and d,& F c & F a & F d & F h F b
eventually go visit c a d b and h,& F c & F a & F h & F b F d
eventually go visit c a b d and h,& F c & F a & F h & F d F b
eventually go visit c b h d and a,& F c & F b & F a & F d F h
eventually go visit c b d h and a,& F c & F b & F a & F h F d
eventually go visit c b h a and d,& F c & F b & F d & F a F h
eventually go visit c b a h and d,& F c & F b & F d & F h F a
eventually go visit c b d a and h,& F c & F b & F h & F a F d
eventually go visit c b a d and h,& F c & F b & F h & F d F a
eventually go visit c d h b and a,& F c & F d & F a & F b F h
eventually go visit c d b h and a,& F c & F d & F a & F h F b
eventually go visit c d h a and b,& F c & F d & F b & F a F h
eventually go visit c d a h and b,& F c & F d & F b & F h F a
eventually go visit c d b a and h,& F c & F d & F h & F a F b
eventually go visit c d a b and h,& F c & F d & F h & F b F a
eventually go visit c h d b and a,& F c & F h & F a & F b F d
eventually go visit c h b d and a,& F c & F h & F a & F d F b
eventually go visit c h d a and b,& F c & F h & F b & F a F d
eventually go visit c h a d and b,& F c & F h & F b & F d F a
eventually go visit c h b a and d,& F c & F h & F d & F a F b
eventually go visit c h a b and d,& F c & F h & F d & F b F a
eventually go visit d a h c and b,& F d & F a & F b & F c F h
eventually go visit d a c h and b,& F d & F a & F b & F h F c
eventually go visit d a h b and c,& F d & F a & F c & F b F h
eventually go visit d a b h and c,& F d & F a & F c & F h F b
eventually go visit d a c b and h,& F d & F a & F h & F b F c
eventually go visit d a b c and h,& F d & F a & F h & F c F b
eventually go visit d b h c and a,& F d & F b & F a & F c F h
eventually go visit d b c h and a,& F d & F b & F a & F h F c
eventually go visit d b h a and c,& F d & F b & F c & F a F h
eventually go visit d b a h and c,& F d & F b & F c & F h F a
eventually go visit d b c a and h,& F d & F b & F h & F a F c
eventually go visit d b a c and h,& F d & F b & F h & F c F a
eventually go visit d c h b and a,& F d & F c & F a & F b F h
eventually go visit d c b h and a,& F d & F c & F a & F h F b
eventually go visit d c h a and b,& F d & F c & F b & F a F h
eventually go visit d c a h and b,& F d & F c & F b & F h F a
eventually go visit d c b a and h,& F d & F c & F h & F a F b
eventually go visit d c a b and h,& F d & F c & F h & F b F a
eventually go visit d h c b and a,& F d & F h & F a & F b F c
eventually go visit d h b c and a,& F d & F h & F a & F c F b
eventually go visit d h c a and b,& F d & F h & F b & F a F c
eventually go visit d h a c and b,& F d & F h & F b & F c F a
eventually go visit d h b a and c,& F d & F h & F c & F a F b
eventually go visit d h a b and c,& F d & F h & F c & F b F a
eventually go visit h a d c and b,& F h & F a & F b & F c F d
eventually go visit h a c d and b,& F h & F a & F b & F d F c
eventually go visit h a d b and c,& F h & F a & F c & F b F d
eventually go visit h a b d and c,& F h & F a & F c & F d F b
eventually go visit h a c b and d,& F h & F a & F d & F b F c
eventually go visit h a b c and d,& F h & F a & F d & F c F b
eventually go visit h b d c and a,& F h & F b & F a & F c F d
eventually go visit h b c d and a,& F h & F b & F a & F d F c
eventually go visit h b d a and c,& F h & F b & F c & F a F d
eventually go visit h b a d and c,& F h & F b & F c & F d F a
eventually go visit h b c a and d,& F h & F b & F d & F a F c
eventually go visit h b a c and d,& F h & F b & F d & F c F a
eventually go visit h c d b and a,& F h & F c & F a & F b F d
eventually go visit h c b d and a,& F h & F c & F a & F d F b
eventually go visit h c d a and b,& F h & F c & F b & F a F d
eventually go visit h c a d and b,& F h & F c & F b & F d F a
eventually go visit h c b a and d,& F h & F c & F d & F a F b
eventually go visit h c a b and d,& F h & F c & F d & F b F a
eventually go visit h d c b and a,& F h & F d & F a & F b F c
eventually go visit h d b c and a,& F h & F d & F a & F c F b
eventually go visit h d c a and b,& F h & F d & F b & F a F c
eventually go visit h d a c and b,& F h & F d & F b & F c F a
eventually go visit h d b a and c,& F h & F d & F c & F a F b
eventually go visit h d a b and c,& F h & F d & F c & F b F a
go to a b c d and h,& F a & F b & F c & F d F h
go to a b c h and d,& F a & F b & F c & F h F d
go to a b d c and h,& F a & F b & F d & F c F h
go to a b d h and c,& F a & F b & F d & F h F c
go to a b h c and d,& F a & F b & F h & F c F d
go to a b h d and c,& F a & F b & F h & F d F c
go to a c b d and h,& F a & F c & F b & F d F h
go to a c b h and d,& F a & F c & F b & F h F d
go to a c d b and h,& F a & F c & F d & F b F h
go to a c d h and b,& F a & F c & F d & F h F b
go to a c h b and d,& F a & F c & F h & F b F d
go to a c h d and b,& F a & F c & F h & F d F b
go to a d b c and h,& F a & F d & F b & F c F h
go to a d b h and c,& F a & F d & F b & F h F c
go to a d c b and h,& F a & F d & F c & F b F h
go to a d c h and b,& F a & F d & F c & F h F b
go to a d h b and c,& F a & F d & F h & F b F c
go to a d h c and b,& F a & F d & F h & F c F b
go to a h b c and d,& F a & F h & F b & F c F d
go to a h b d and c,& F a & F h & F b & F d F c
go to a h c b and d,& F a & F h & F c & F b F d
go to a h c d and b,& F a & F h & F c & F d F b
go to a h d b and c,& F a & F h & F d & F b F c
go to a h d c and b,& F a & F h & F d & F c F b
go to b a c d and h,& F b & F a & F c & F d F h
go to b a c h and d,& F b & F a & F c & F h F d
go to b a d c and h,& F b & F a & F d & F c F h
go to b a d h and c,& F b & F a & F d & F h F c
go to b a h c and d,& F b & F a & F h & F c F d
go to b a h d and c,& F b & F a & F h & F d F c
go to b c a d and h,& F b & F c & F a & F d F h
go to b c a h and d,& F b & F c & F a & F h F d
go to b c d a and h,& F b & F c & F d & F a F h
go to b c d h and a,& F b & F c & F d & F h F a
go to b c h a and d,& F b & F c & F h & F a F d
go to b c h d and a,& F b & F c & F h & F d F a
go to b d a c and h,& F b & F d & F a & F c F h
go to b d a h and c,& F b & F d & F a & F h F c
go to b d c a and h,& F b & F d & F c & F a F h
go to b d c h and a,& F b & F d & F c & F h F a
go to b d h a and c,& F b & F d & F h & F a F c
go to b d h c and a,& F b & F d & F h & F c F a
go to b h a c and d,& F b & F h & F a & F c F d
go to b h a d and c,& F b & F h & F a & F d F c
go to b h c a and d,& F b & F h & F c & F a F d
go to b h c d and a,& F b & F h & F c & F d F a
go to b h d a and c,& F b & F h & F d & F a F c
go to b h d c and a,& F b & F h & F d & F c F a
go to c a b d and h,& F c & F a & F b & F d F h
go to c a b h and d,& F c & F a & F b & F h F d
go to c a d b and h,& F c & F a & F d & F b F h
go to c a d h and b,& F c & F a & F d & F h F b
go to c a h b and d,& F c & F a & F h & F b F d
go to c a h d and b,& F c & F a & F h & F d F b
go to c b a d and h,& F c & F b & F a & F d F h
go to c b a h and d,& F c & F b & F a & F h F d
go to c b d a and h,& F c & F b & F d & F a F h
go to c b d h and a,& F c & F b & F d & F h F a
