composed_utterance,composed_formulas,base_utterances,base_formulas
"visit a and then b, in addition you must avoid a at all costs",& F & a F b G ! a,"('visit a and then b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"visit a and then b, in addition you can not go to a",& F & a F b G ! a,"('visit a and then b', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition avoid a forever",& F & a F b G ! a,"('visit a and then b', 'avoid a forever')","('F & a F b', 'G ! a')"
"visit a and then b, in addition do not make any single visit to a",& F & a F b G ! a,"('visit a and then b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition you can not go to a",& F & a F b G ! a,"('visit a and then b', 'you can not go to a')","('F & a F b', 'G ! a')"
"visit a and then b, in addition never let a hold",& F & a F b G ! a,"('visit a and then b', 'never let a hold')","('F & a F b', 'G ! a')"
"visit a and then b, in addition a should never become true",& F & a F b G ! a,"('visit a and then b', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition never go to a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'never go to a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition do not go to a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition always keep away from a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition never visit a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition you can never go to a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition always stay away from a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition always avoid going to a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition make sure you never visit a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition avoid going to a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition you must never go to a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition a should never be reached",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition a must be avoided",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition never visit a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition you can not go to a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition avoid a forever",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition you can not go to a",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition never let a hold",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a and sometime afterward visit b, in addition a should never become true",& F & a F b G ! a,"('go to a and sometime afterward visit b', 'a should never become true')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition never go to a",& F & a F b G ! a,"('move to a then move to b', 'never go to a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition do not go to a",& F & a F b G ! a,"('move to a then move to b', 'do not go to a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition you can go anywhere but a",& F & a F b G ! a,"('move to a then move to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition a can not be visited at any time",& F & a F b G ! a,"('move to a then move to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition always keep away from a",& F & a F b G ! a,"('move to a then move to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition never visit a",& F & a F b G ! a,"('move to a then move to b', 'never visit a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition you can never go to a",& F & a F b G ! a,"('move to a then move to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition always stay away from a",& F & a F b G ! a,"('move to a then move to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition always avoid going to a",& F & a F b G ! a,"('move to a then move to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('move to a then move to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition make sure you never visit a",& F & a F b G ! a,"('move to a then move to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition you can not go to a at any time",& F & a F b G ! a,"('move to a then move to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition avoid going to a",& F & a F b G ! a,"('move to a then move to b', 'avoid going to a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition you must never go to a",& F & a F b G ! a,"('move to a then move to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition a should never be reached",& F & a F b G ! a,"('move to a then move to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition a must be avoided",& F & a F b G ! a,"('move to a then move to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition never visit a",& F & a F b G ! a,"('move to a then move to b', 'never visit a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('move to a then move to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition you can not go to a",& F & a F b G ! a,"('move to a then move to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition avoid a forever",& F & a F b G ! a,"('move to a then move to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition do not make any single visit to a",& F & a F b G ! a,"('move to a then move to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition you can not go to a",& F & a F b G ! a,"('move to a then move to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition never let a hold",& F & a F b G ! a,"('move to a then move to b', 'never let a hold')","('F & a F b', 'G ! a')"
"move to a then move to b, in addition a should never become true",& F & a F b G ! a,"('move to a then move to b', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a then b, in addition never go to a",& F & a F b G ! a,"('go to a then b', 'never go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition do not go to a",& F & a F b G ! a,"('go to a then b', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a then b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a then b, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a then b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a then b, in addition always keep away from a",& F & a F b G ! a,"('go to a then b', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a then b, in addition never visit a",& F & a F b G ! a,"('go to a then b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can never go to a",& F & a F b G ! a,"('go to a then b', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition always stay away from a",& F & a F b G ! a,"('go to a then b', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a then b, in addition always avoid going to a",& F & a F b G ! a,"('go to a then b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a then b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then b, in addition make sure you never visit a",& F & a F b G ! a,"('go to a then b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a then b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a then b, in addition avoid going to a",& F & a F b G ! a,"('go to a then b', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you must never go to a",& F & a F b G ! a,"('go to a then b', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition a should never be reached",& F & a F b G ! a,"('go to a then b', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a then b, in addition a must be avoided",& F & a F b G ! a,"('go to a then b', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a then b, in addition never visit a",& F & a F b G ! a,"('go to a then b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a then b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can not go to a",& F & a F b G ! a,"('go to a then b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition avoid a forever",& F & a F b G ! a,"('go to a then b', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a then b, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a then b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition you can not go to a",& F & a F b G ! a,"('go to a then b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then b, in addition never let a hold",& F & a F b G ! a,"('go to a then b', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a then b, in addition a should never become true",& F & a F b G ! a,"('go to a then b', 'a should never become true')","('F & a F b', 'G ! a')"
"find a first then find b, in addition never go to a",& F & a F b G ! a,"('find a first then find b', 'never go to a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition do not go to a",& F & a F b G ! a,"('find a first then find b', 'do not go to a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition you can go anywhere but a",& F & a F b G ! a,"('find a first then find b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition a can not be visited at any time",& F & a F b G ! a,"('find a first then find b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"find a first then find b, in addition always keep away from a",& F & a F b G ! a,"('find a first then find b', 'always keep away from a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition never visit a",& F & a F b G ! a,"('find a first then find b', 'never visit a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition you can never go to a",& F & a F b G ! a,"('find a first then find b', 'you can never go to a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition always stay away from a",& F & a F b G ! a,"('find a first then find b', 'always stay away from a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition always avoid going to a",& F & a F b G ! a,"('find a first then find b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('find a first then find b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"find a first then find b, in addition make sure you never visit a",& F & a F b G ! a,"('find a first then find b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition you can not go to a at any time",& F & a F b G ! a,"('find a first then find b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"find a first then find b, in addition avoid going to a",& F & a F b G ! a,"('find a first then find b', 'avoid going to a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition you must never go to a",& F & a F b G ! a,"('find a first then find b', 'you must never go to a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition a should never be reached",& F & a F b G ! a,"('find a first then find b', 'a should never be reached')","('F & a F b', 'G ! a')"
"find a first then find b, in addition a must be avoided",& F & a F b G ! a,"('find a first then find b', 'a must be avoided')","('F & a F b', 'G ! a')"
"find a first then find b, in addition never visit a",& F & a F b G ! a,"('find a first then find b', 'never visit a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition you must avoid a at all costs",& F & a F b G ! a,"('find a first then find b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"find a first then find b, in addition you can not go to a",& F & a F b G ! a,"('find a first then find b', 'you can not go to a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition avoid a forever",& F & a F b G ! a,"('find a first then find b', 'avoid a forever')","('F & a F b', 'G ! a')"
"find a first then find b, in addition do not make any single visit to a",& F & a F b G ! a,"('find a first then find b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition you can not go to a",& F & a F b G ! a,"('find a first then find b', 'you can not go to a')","('F & a F b', 'G ! a')"
"find a first then find b, in addition never let a hold",& F & a F b G ! a,"('find a first then find b', 'never let a hold')","('F & a F b', 'G ! a')"
"find a first then find b, in addition a should never become true",& F & a F b G ! a,"('find a first then find b', 'a should never become true')","('F & a F b', 'G ! a')"
"move a then find b, in addition never go to a",& F & a F b G ! a,"('move a then find b', 'never go to a')","('F & a F b', 'G ! a')"
"move a then find b, in addition do not go to a",& F & a F b G ! a,"('move a then find b', 'do not go to a')","('F & a F b', 'G ! a')"
"move a then find b, in addition you can go anywhere but a",& F & a F b G ! a,"('move a then find b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"move a then find b, in addition a can not be visited at any time",& F & a F b G ! a,"('move a then find b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"move a then find b, in addition always keep away from a",& F & a F b G ! a,"('move a then find b', 'always keep away from a')","('F & a F b', 'G ! a')"
"move a then find b, in addition never visit a",& F & a F b G ! a,"('move a then find b', 'never visit a')","('F & a F b', 'G ! a')"
"move a then find b, in addition you can never go to a",& F & a F b G ! a,"('move a then find b', 'you can never go to a')","('F & a F b', 'G ! a')"
"move a then find b, in addition always stay away from a",& F & a F b G ! a,"('move a then find b', 'always stay away from a')","('F & a F b', 'G ! a')"
"move a then find b, in addition always avoid going to a",& F & a F b G ! a,"('move a then find b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"move a then find b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('move a then find b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"move a then find b, in addition make sure you never visit a",& F & a F b G ! a,"('move a then find b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"move a then find b, in addition you can not go to a at any time",& F & a F b G ! a,"('move a then find b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"move a then find b, in addition avoid going to a",& F & a F b G ! a,"('move a then find b', 'avoid going to a')","('F & a F b', 'G ! a')"
"move a then find b, in addition you must never go to a",& F & a F b G ! a,"('move a then find b', 'you must never go to a')","('F & a F b', 'G ! a')"
"move a then find b, in addition a should never be reached",& F & a F b G ! a,"('move a then find b', 'a should never be reached')","('F & a F b', 'G ! a')"
"move a then find b, in addition a must be avoided",& F & a F b G ! a,"('move a then find b', 'a must be avoided')","('F & a F b', 'G ! a')"
"move a then find b, in addition never visit a",& F & a F b G ! a,"('move a then find b', 'never visit a')","('F & a F b', 'G ! a')"
"move a then find b, in addition you must avoid a at all costs",& F & a F b G ! a,"('move a then find b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"move a then find b, in addition you can not go to a",& F & a F b G ! a,"('move a then find b', 'you can not go to a')","('F & a F b', 'G ! a')"
"move a then find b, in addition avoid a forever",& F & a F b G ! a,"('move a then find b', 'avoid a forever')","('F & a F b', 'G ! a')"
"move a then find b, in addition do not make any single visit to a",& F & a F b G ! a,"('move a then find b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"move a then find b, in addition you can not go to a",& F & a F b G ! a,"('move a then find b', 'you can not go to a')","('F & a F b', 'G ! a')"
"move a then find b, in addition never let a hold",& F & a F b G ! a,"('move a then find b', 'never let a hold')","('F & a F b', 'G ! a')"
"move a then find b, in addition a should never become true",& F & a F b G ! a,"('move a then find b', 'a should never become true')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition never go to a",& F & a F b G ! a,"('go to a then move to b', 'never go to a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition do not go to a",& F & a F b G ! a,"('go to a then move to b', 'do not go to a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition you can go anywhere but a",& F & a F b G ! a,"('go to a then move to b', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition a can not be visited at any time",& F & a F b G ! a,"('go to a then move to b', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition always keep away from a",& F & a F b G ! a,"('go to a then move to b', 'always keep away from a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition never visit a",& F & a F b G ! a,"('go to a then move to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition you can never go to a",& F & a F b G ! a,"('go to a then move to b', 'you can never go to a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition always stay away from a",& F & a F b G ! a,"('go to a then move to b', 'always stay away from a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition always avoid going to a",& F & a F b G ! a,"('go to a then move to b', 'always avoid going to a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition you have to avoid a at all costs",& F & a F b G ! a,"('go to a then move to b', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition make sure you never visit a",& F & a F b G ! a,"('go to a then move to b', 'make sure you never visit a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition you can not go to a at any time",& F & a F b G ! a,"('go to a then move to b', 'you can not go to a at any time')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition avoid going to a",& F & a F b G ! a,"('go to a then move to b', 'avoid going to a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition you must never go to a",& F & a F b G ! a,"('go to a then move to b', 'you must never go to a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition a should never be reached",& F & a F b G ! a,"('go to a then move to b', 'a should never be reached')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition a must be avoided",& F & a F b G ! a,"('go to a then move to b', 'a must be avoided')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition never visit a",& F & a F b G ! a,"('go to a then move to b', 'never visit a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition you must avoid a at all costs",& F & a F b G ! a,"('go to a then move to b', 'you must avoid a at all costs')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition you can not go to a",& F & a F b G ! a,"('go to a then move to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition avoid a forever",& F & a F b G ! a,"('go to a then move to b', 'avoid a forever')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition do not make any single visit to a",& F & a F b G ! a,"('go to a then move to b', 'do not make any single visit to a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition you can not go to a",& F & a F b G ! a,"('go to a then move to b', 'you can not go to a')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition never let a hold",& F & a F b G ! a,"('go to a then move to b', 'never let a hold')","('F & a F b', 'G ! a')"
"go to a then move to b, in addition a should never become true",& F & a F b G ! a,"('go to a then move to b', 'a should never become true')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition never go to a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'never go to a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition do not go to a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'do not go to a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition you can go anywhere but a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'you can go anywhere but a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition a can not be visited at any time",& F & a F b G ! a,"('visit a and visit b after a is visited', 'a can not be visited at any time')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition always keep away from a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'always keep away from a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition never visit a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'never visit a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition you can never go to a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'you can never go to a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition always stay away from a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'always stay away from a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition always avoid going to a",& F & a F b G ! a,"('visit a and visit b after a is visited', 'always avoid going to a')","('F & a F b', 'G ! a')"
"visit a and visit b after a is visited, in addition you have to avoid a at all costs",& F & a F b G ! a,"('visit a and visit b after a is visited', 'you have to avoid a at all costs')","('F & a F b', 'G ! a')"
