LTL template,Sentence,LTL
F(a & F(b)),Find Barus Building and then find CVS,F ( Barus Building & F ( CVS ) )
F(a & F(b)),Find Barus Building and then find Citizen's Bank,F ( Barus Building & F ( Citizen's Bank ) )
F(a & F(b)),Find Barus Building and then find Watson Center,F ( Barus Building & F ( Watson Center ) )
F(a & F(b)),Find Barus Building and then find Marston Hall,F ( Barus Building & F ( Marston Hall ) )
F(a & F(b)),Find Barus Building and then find FedEx Office,F ( Barus Building & F ( FedEx Office ) )
F(a & F(b)),Find Barus Building and then find Nelson Fitness Center,F ( Barus Building & F ( Nelson Fitness Center ) )
F(a & F(b)),Find Watson Center and then find Bookstore,F ( Watson Center & F ( Bookstore ) )
F(a & F(b)),Find Watson Center and then find Science Library,F ( Watson Center & F ( Science Library ) )
F(a & F(b)),Find Watson Center and then find Chipotle,F ( Watson Center & F ( Chipotle ) )
F(a & F(b)),Find Watson Center and then find Starbucks,F ( Watson Center & F ( Starbucks ) )
F(a & F(b)),Find Watson Center and then find Kabob and Curry,F ( Watson Center & F ( Kabob and Curry ) )
F(a & F(b)),Find Watson Center and then find CVS,F ( Watson Center & F ( CVS ) )
F(a & F(b)),Find Watson Center and then find Citizen's Bank,F ( Watson Center & F ( Citizen's Bank ) )
F(a & F(b)),Find Watson Center and then find Barus Building,F ( Watson Center & F ( Barus Building ) )
F(a & F(b)),Find Watson Center and then find Marston Hall,F ( Watson Center & F ( Marston Hall ) )
F(a & F(b)),Find Watson Center and then find FedEx Office,F ( Watson Center & F ( FedEx Office ) )
F(a & F(b)),Find Watson Center and then find Nelson Fitness Center,F ( Watson Center & F ( Nelson Fitness Center ) )
F(a & F(b)),Find Marston Hall and then find Bookstore,F ( Marston Hall & F ( Bookstore ) )
F(a & F(b)),Find Marston Hall and then find Science Library,F ( Marston Hall & F ( Science Library ) )
F(a & F(b)),Find Marston Hall and then find Chipotle,F ( Marston Hall & F ( Chipotle ) )
F(a & F(b)),Find Marston Hall and then find Starbucks,F ( Marston Hall & F ( Starbucks ) )
F(a & F(b)),Find Marston Hall and then find Kabob and Curry,F ( Marston Hall & F ( Kabob and Curry ) )
F(a & F(b)),Find Marston Hall and then find CVS,F ( Marston Hall & F ( CVS ) )
F(a & F(b)),Find Marston Hall and then find Citizen's Bank,F ( Marston Hall & F ( Citizen's Bank ) )
F(a & F(b)),Find Marston Hall and then find Barus Building,F ( Marston Hall & F ( Barus Building ) )
F(a & F(b)),Find Marston Hall and then find Watson Center,F ( Marston Hall & F ( Watson Center ) )
F(a & F(b)),Find Marston Hall and then find FedEx Office,F ( Marston Hall & F ( FedEx Office ) )
F(a & F(b)),Find Marston Hall and then find Nelson Fitness Center,F ( Marston Hall & F ( Nelson Fitness Center ) )
F(a & F(b)),Find FedEx Office and then find Bookstore,F ( FedEx Office & F ( Bookstore ) )
F(a & F(b)),Find FedEx Office and then find Science Library,F ( FedEx Office & F ( Science Library ) )
F(a & F(b)),Find FedEx Office and then find Chipotle,F ( FedEx Office & F ( Chipotle ) )
F(a & F(b)),Find FedEx Office and then find Starbucks,F ( FedEx Office & F ( Starbucks ) )
F(a & F(b)),Find FedEx Office and then find Kabob and Curry,F ( FedEx Office & F ( Kabob and Curry ) )
F(a & F(b)),Find FedEx Office and then find CVS,F ( FedEx Office & F ( CVS ) )
F(a & F(b)),Find FedEx Office and then find Citizen's Bank,F ( FedEx Office & F ( Citizen's Bank ) )
F(a & F(b)),Find FedEx Office and then find Barus Building,F ( FedEx Office & F ( Barus Building ) )
F(a & F(b)),Find FedEx Office and then find Watson Center,F ( FedEx Office & F ( Watson Center ) )
F(a & F(b)),Find FedEx Office and then find Marston Hall,F ( FedEx Office & F ( Marston Hall ) )
F(a & F(b)),Find FedEx Office and then find Nelson Fitness Center,F ( FedEx Office & F ( Nelson Fitness Center ) )
F(a & F(b)),Find Nelson Fitness Center and then find Bookstore,F ( Nelson Fitness Center & F ( Bookstore ) )
F(a & F(b)),Find Nelson Fitness Center and then find Science Library,F ( Nelson Fitness Center & F ( Science Library ) )
F(a & F(b)),Find Nelson Fitness Center and then find Chipotle,F ( Nelson Fitness Center & F ( Chipotle ) )
F(a & F(b)),Find Nelson Fitness Center and then find Starbucks,F ( Nelson Fitness Center & F ( Starbucks ) )
F(a & F(b)),Find Nelson Fitness Center and then find Kabob and Curry,F ( Nelson Fitness Center & F ( Kabob and Curry ) )
F(a & F(b)),Find Nelson Fitness Center and then find CVS,F ( Nelson Fitness Center & F ( CVS ) )
F(a & F(b)),Find Nelson Fitness Center and then find Citizen's Bank,F ( Nelson Fitness Center & F ( Citizen's Bank ) )
F(a & F(b)),Find Nelson Fitness Center and then find Barus Building,F ( Nelson Fitness Center & F ( Barus Building ) )
F(a & F(b)),Find Nelson Fitness Center and then find Watson Center,F ( Nelson Fitness Center & F ( Watson Center ) )
F(a & F(b)),Find Nelson Fitness Center and then find Marston Hall,F ( Nelson Fitness Center & F ( Marston Hall ) )
F(a & F(b)),Find Nelson Fitness Center and then find FedEx Office,F ( Nelson Fitness Center & F ( FedEx Office ) )
F(a & F(b)),Go to Bookstore and then go to Science Library,F ( Bookstore & F ( Science Library ) )
F(a & F(b)),Go to Bookstore and then go to Starbucks,F ( Bookstore & F ( Starbucks ) )
F(a & F(b)),Go to Bookstore and then go to Chipotle,F ( Bookstore & F ( Chipotle ) )
F(a & F(b)),Go to Bookstore and then go to Kabob and Curry,F ( Bookstore & F ( Kabob and Curry ) )
F(a & F(b)),Go to Bookstore and then go to CVS,F ( Bookstore & F ( CVS ) )
F(a & F(b)),Go to Bookstore and then go to Citizen's Bank,F ( Bookstore & F ( Citizen's Bank ) )
F(a & F(b)),Go to Bookstore and then go to Barus Building,F ( Bookstore & F ( Barus Building ) )
F(a & F(b)),Go to Bookstore and then go to Watson Center,F ( Bookstore & F ( Watson Center ) )
F(a & F(b)),Go to Bookstore and then go to Marston Hall,F ( Bookstore & F ( Marston Hall ) )
F(a & F(b)),Go to Bookstore and then go to FedEx Office,F ( Bookstore & F ( FedEx Office ) )
F(a & F(b)),Go to Bookstore and then go to Nelson Fitness Center,F ( Bookstore & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Science Library and then go to Bookstore,F ( Science Library & F ( Bookstore ) )
F(a & F(b)),Go to Science Library and then go to Starbucks,F ( Science Library & F ( Starbucks ) )
F(a & F(b)),Go to Science Library and then go to Chipotle,F ( Science Library & F ( Chipotle ) )
F(a & F(b)),Go to Science Library and then go to Kabob and Curry,F ( Science Library & F ( Kabob and Curry ) )
F(a & F(b)),Go to Science Library and then go to CVS,F ( Science Library & F ( CVS ) )
F(a & F(b)),Go to Science Library and then go to Citizen's Bank,F ( Science Library & F ( Citizen's Bank ) )
F(a & F(b)),Go to Science Library and then go to Barus Building,F ( Science Library & F ( Barus Building ) )
F(a & F(b)),Go to Science Library and then go to Watson Center,F ( Science Library & F ( Watson Center ) )
F(a & F(b)),Go to Science Library and then go to Marston Hall,F ( Science Library & F ( Marston Hall ) )
F(a & F(b)),Go to Science Library and then go to FedEx Office,F ( Science Library & F ( FedEx Office ) )
F(a & F(b)),Go to Science Library and then go to Nelson Fitness Center,F ( Science Library & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Starbucks and then go to Bookstore,F ( Starbucks & F ( Bookstore ) )
F(a & F(b)),Go to Starbucks and then go to Science Library,F ( Starbucks & F ( Science Library ) )
F(a & F(b)),Go to Starbucks and then go to Chipotle,F ( Starbucks & F ( Chipotle ) )
F(a & F(b)),Go to Starbucks and then go to Kabob and Curry,F ( Starbucks & F ( Kabob and Curry ) )
F(a & F(b)),Go to Starbucks and then go to CVS,F ( Starbucks & F ( CVS ) )
F(a & F(b)),Go to Starbucks and then go to Citizen's Bank,F ( Starbucks & F ( Citizen's Bank ) )
F(a & F(b)),Go to Starbucks and then go to Barus Building,F ( Starbucks & F ( Barus Building ) )
F(a & F(b)),Go to Starbucks and then go to Watson Center,F ( Starbucks & F ( Watson Center ) )
F(a & F(b)),Go to Starbucks and then go to Marston Hall,F ( Starbucks & F ( Marston Hall ) )
F(a & F(b)),Go to Starbucks and then go to FedEx Office,F ( Starbucks & F ( FedEx Office ) )
F(a & F(b)),Go to Starbucks and then go to Nelson Fitness Center,F ( Starbucks & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Chipotle and then go to Bookstore,F ( Chipotle & F ( Bookstore ) )
F(a & F(b)),Go to Chipotle and then go to Science Library,F ( Chipotle & F ( Science Library ) )
F(a & F(b)),Go to Chipotle and then go to Kabob and Curry,F ( Chipotle & F ( Kabob and Curry ) )
F(a & F(b)),Go to Chipotle and then go to CVS,F ( Chipotle & F ( CVS ) )
F(a & F(b)),Go to Chipotle and then go to Citizen's Bank,F ( Chipotle & F ( Citizen's Bank ) )
F(a & F(b)),Go to Chipotle and then go to Barus Building,F ( Chipotle & F ( Barus Building ) )
F(a & F(b)),Go to Chipotle and then go to Watson Center,F ( Chipotle & F ( Watson Center ) )
F(a & F(b)),Go to Chipotle and then go to Marston Hall,F ( Chipotle & F ( Marston Hall ) )
F(a & F(b)),Go to Chipotle and then go to FedEx Office,F ( Chipotle & F ( FedEx Office ) )
F(a & F(b)),Go to Chipotle and then go to Nelson Fitness Center,F ( Chipotle & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Chipotle and then go to Starbucks,F ( Chipotle & F ( Starbucks ) )
F(a & F(b)),Go to Kabob and Curry and then go to Bookstore,F ( Kabob and Curry & F ( Bookstore ) )
F(a & F(b)),Go to Kabob and Curry and then go to Science Library,F ( Kabob and Curry & F ( Science Library ) )
F(a & F(b)),Go to Kabob and Curry and then go to Chipotle,F ( Kabob and Curry & F ( Chipotle ) )
F(a & F(b)),Go to Kabob and Curry and then go to Starbucks,F ( Kabob and Curry & F ( Starbucks ) )
F(a & F(b)),Go to Kabob and Curry and then go to CVS,F ( Kabob and Curry & F ( CVS ) )
F(a & F(b)),Go to Kabob and Curry and then go to Citizen's Bank,F ( Kabob and Curry & F ( Citizen's Bank ) )
F(a & F(b)),Go to Kabob and Curry and then go to Barus Building,F ( Kabob and Curry & F ( Barus Building ) )
F(a & F(b)),Go to Kabob and Curry and then go to Watson Center,F ( Kabob and Curry & F ( Watson Center ) )
F(a & F(b)),Go to Kabob and Curry and then go to Marston Hall,F ( Kabob and Curry & F ( Marston Hall ) )
F(a & F(b)),Go to Kabob and Curry and then go to FedEx Office,F ( Kabob and Curry & F ( FedEx Office ) )
F(a & F(b)),Go to Kabob and Curry and then go to Nelson Fitness Center,F ( Kabob and Curry & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to CVS and then go to Bookstore,F ( CVS & F ( Bookstore ) )
F(a & F(b)),Go to CVS and then go to Science Library,F ( CVS & F ( Science Library ) )
F(a & F(b)),Go to CVS and then go to Chipotle,F ( CVS & F ( Chipotle ) )
F(a & F(b)),Go to CVS and then go to Starbucks,F ( CVS & F ( Starbucks ) )
F(a & F(b)),Go to CVS and then go to Kabob and Curry,F ( CVS & F ( Kabob and Curry ) )
F(a & F(b)),Go to CVS and then go to Citizen's Bank,F ( CVS & F ( Citizen's Bank ) )
F(a & F(b)),Go to CVS and then go to Barus Building,F ( CVS & F ( Barus Building ) )
F(a & F(b)),Go to CVS and then go to Watson Center,F ( CVS & F ( Watson Center ) )
F(a & F(b)),Go to CVS and then go to Marston Hall,F ( CVS & F ( Marston Hall ) )
F(a & F(b)),Go to CVS and then go to FedEx Office,F ( CVS & F ( FedEx Office ) )
F(a & F(b)),Go to CVS and then go to Nelson Fitness Center,F ( CVS & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Citizen's Bank and then go to Bookstore,F ( Citizen's Bank & F ( Bookstore ) )
F(a & F(b)),Go to Citizen's Bank and then go to Science Library,F ( Citizen's Bank & F ( Science Library ) )
F(a & F(b)),Go to Citizen's Bank and then go to Chipotle,F ( Citizen's Bank & F ( Chipotle ) )
F(a & F(b)),Go to Citizen's Bank and then go to Starbucks,F ( Citizen's Bank & F ( Starbucks ) )
F(a & F(b)),Go to Citizen's Bank and then go to Kabob and Curry,F ( Citizen's Bank & F ( Kabob and Curry ) )
F(a & F(b)),Go to Citizen's Bank and then go to CVS,F ( Citizen's Bank & F ( CVS ) )
F(a & F(b)),Go to Citizen's Bank and then go to Barus Building,F ( Citizen's Bank & F ( Barus Building ) )
F(a & F(b)),Go to Citizen's Bank and then go to Watson Center,F ( Citizen's Bank & F ( Watson Center ) )
F(a & F(b)),Go to Citizen's Bank and then go to Marston Hall,F ( Citizen's Bank & F ( Marston Hall ) )
F(a & F(b)),Go to Citizen's Bank and then go to FedEx Office,F ( Citizen's Bank & F ( FedEx Office ) )
F(a & F(b)),Go to Citizen's Bank and then go to Nelson Fitness Center,F ( Citizen's Bank & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Barus Building and then go to Bookstore,F ( Barus Building & F ( Bookstore ) )
F(a & F(b)),Go to Barus Building and then go to Science Library,F ( Barus Building & F ( Science Library ) )
F(a & F(b)),Go to Barus Building and then go to Chipotle,F ( Barus Building & F ( Chipotle ) )
F(a & F(b)),Go to Barus Building and then go to Starbucks,F ( Barus Building & F ( Starbucks ) )
F(a & F(b)),Go to Barus Building and then go to Kabob and Curry,F ( Barus Building & F ( Kabob and Curry ) )
F(a & F(b)),Go to Barus Building and then go to CVS,F ( Barus Building & F ( CVS ) )
F(a & F(b)),Go to Barus Building and then go to Citizen's Bank,F ( Barus Building & F ( Citizen's Bank ) )
F(a & F(b)),Go to Barus Building and then go to Watson Center,F ( Barus Building & F ( Watson Center ) )
F(a & F(b)),Go to Barus Building and then go to Marston Hall,F ( Barus Building & F ( Marston Hall ) )
F(a & F(b)),Go to Barus Building and then go to FedEx Office,F ( Barus Building & F ( FedEx Office ) )
F(a & F(b)),Go to Barus Building and then go to Nelson Fitness Center,F ( Barus Building & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Watson Center and then go to Bookstore,F ( Watson Center & F ( Bookstore ) )
F(a & F(b)),Go to Watson Center and then go to Science Library,F ( Watson Center & F ( Science Library ) )
F(a & F(b)),Go to Watson Center and then go to Chipotle,F ( Watson Center & F ( Chipotle ) )
F(a & F(b)),Go to Watson Center and then go to Starbucks,F ( Watson Center & F ( Starbucks ) )
F(a & F(b)),Go to Watson Center and then go to Kabob and Curry,F ( Watson Center & F ( Kabob and Curry ) )
F(a & F(b)),Go to Watson Center and then go to CVS,F ( Watson Center & F ( CVS ) )
F(a & F(b)),Go to Watson Center and then go to Citizen's Bank,F ( Watson Center & F ( Citizen's Bank ) )
F(a & F(b)),Go to Watson Center and then go to Barus Building,F ( Watson Center & F ( Barus Building ) )
F(a & F(b)),Go to Watson Center and then go to Marston Hall,F ( Watson Center & F ( Marston Hall ) )
F(a & F(b)),Go to Watson Center and then go to FedEx Office,F ( Watson Center & F ( FedEx Office ) )
F(a & F(b)),Go to Watson Center and then go to Nelson Fitness Center,F ( Watson Center & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Marston Hall and then go to Bookstore,F ( Marston Hall & F ( Bookstore ) )
F(a & F(b)),Go to Marston Hall and then go to Science Library,F ( Marston Hall & F ( Science Library ) )
F(a & F(b)),Go to Marston Hall and then go to Chipotle,F ( Marston Hall & F ( Chipotle ) )
F(a & F(b)),Go to Marston Hall and then go to Starbucks,F ( Marston Hall & F ( Starbucks ) )
F(a & F(b)),Go to Marston Hall and then go to Kabob and Curry,F ( Marston Hall & F ( Kabob and Curry ) )
F(a & F(b)),Go to Marston Hall and then go to CVS,F ( Marston Hall & F ( CVS ) )
F(a & F(b)),Go to Marston Hall and then go to Citizen's Bank,F ( Marston Hall & F ( Citizen's Bank ) )
F(a & F(b)),Go to Marston Hall and then go to Barus Building,F ( Marston Hall & F ( Barus Building ) )
F(a & F(b)),Go to Marston Hall and then go to Watson Center,F ( Marston Hall & F ( Watson Center ) )
F(a & F(b)),Go to Marston Hall and then go to FedEx Office,F ( Marston Hall & F ( FedEx Office ) )
F(a & F(b)),Go to Marston Hall and then go to Nelson Fitness Center,F ( Marston Hall & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to FedEx Office and then go to Bookstore,F ( FedEx Office & F ( Bookstore ) )
F(a & F(b)),Go to FedEx Office and then go to Science Library,F ( FedEx Office & F ( Science Library ) )
F(a & F(b)),Go to FedEx Office and then go to Chipotle,F ( FedEx Office & F ( Chipotle ) )
F(a & F(b)),Go to FedEx Office and then go to Starbucks,F ( FedEx Office & F ( Starbucks ) )
F(a & F(b)),Go to FedEx Office and then go to Kabob and Curry,F ( FedEx Office & F ( Kabob and Curry ) )
F(a & F(b)),Go to FedEx Office and then go to CVS,F ( FedEx Office & F ( CVS ) )
F(a & F(b)),Go to FedEx Office and then go to Citizen's Bank,F ( FedEx Office & F ( Citizen's Bank ) )
F(a & F(b)),Go to FedEx Office and then go to Barus Building,F ( FedEx Office & F ( Barus Building ) )
F(a & F(b)),Go to FedEx Office and then go to Watson Center,F ( FedEx Office & F ( Watson Center ) )
F(a & F(b)),Go to FedEx Office and then go to Marston Hall,F ( FedEx Office & F ( Marston Hall ) )
F(a & F(b)),Go to FedEx Office and then go to Nelson Fitness Center,F ( FedEx Office & F ( Nelson Fitness Center ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Bookstore,F ( Nelson Fitness Center & F ( Bookstore ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Science Library,F ( Nelson Fitness Center & F ( Science Library ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Chipotle,F ( Nelson Fitness Center & F ( Chipotle ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Starbucks,F ( Nelson Fitness Center & F ( Starbucks ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Kabob and Curry,F ( Nelson Fitness Center & F ( Kabob and Curry ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to CVS,F ( Nelson Fitness Center & F ( CVS ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Citizen's Bank,F ( Nelson Fitness Center & F ( Citizen's Bank ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Barus Building,F ( Nelson Fitness Center & F ( Barus Building ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Watson Center,F ( Nelson Fitness Center & F ( Watson Center ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to Marston Hall,F ( Nelson Fitness Center & F ( Marston Hall ) )
F(a & F(b)),Go to Nelson Fitness Center and then go to FedEx Office,F ( Nelson Fitness Center & F ( FedEx Office ) )
G(a) & F(b),Stay on Thayer St and find Bookstore,G ( Thayer St ) & F ( Bookstore )
G(a) & F(b),Stay on Thayer St and find Science Library,G ( Thayer St ) & F ( Science Library )
