Language Command,LTL Formula
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go to red room,F red_room
move to the red room,F red_room
go to red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
move into the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to red room,F red_room
move to red room,F red_room
go to red room,F red_room
move to the red room,F red_room
move to the red room,F red_room
go to the red room,F red_room
go to the red room,F red_room
go only through rooms that are not yellow to get to the green room,& F green_room G ! yellow_room
make your way to the green room while avoiding the yellow room,& F green_room G ! yellow_room
proceed to green area while avoiding the yellow area,& F green_room G ! yellow_room
move through the room that is not yellow into the green room,& F green_room G ! yellow_room
go to green area avoiding yellow area,& F green_room G ! yellow_room
do not go through the yellow room while going to the green room,& F green_room G ! yellow_room
go into the green room without crossing the yellow room,& F green_room G ! yellow_room
move to the green room but do not go through the yellow room,& F green_room G ! yellow_room
the robot is to move towards the green room without entering a yellow room,& F green_room G ! yellow_room
go to the green room without entering a yellow room,& F green_room G ! yellow_room
the robot avoids yellow to get to the green,& F green_room G ! yellow_room
avoid yellow area on way to green area each time,& F green_room G ! yellow_room
while avoiding yellow navigate to green,& F green_room G ! yellow_room
go to the green room without using the yellow room,& F green_room G ! yellow_room
enter the green room without entering a yellow room,& F green_room G ! yellow_room
go to the green room but do not enter the yellow room first,& F green_room G ! yellow_room
enter green room via the non yellow room,& F green_room G ! yellow_room
move to room not using yellow into the green room,& F green_room G ! yellow_room
go to green area by avoiding yellow area,& F green_room G ! yellow_room
avoid yellow find green,& F green_room G ! yellow_room
go through the room that is not yellow to get to the green room,& F green_room G ! yellow_room
go to the green room but avoid the yellow room,& F green_room G ! yellow_room
go to the green room while avoiding the yellow rooms,& F green_room G ! yellow_room
move to the large green room while avoiding the small yellow room,& F green_room G ! yellow_room
avoid the yellow room and end at the green rectangular room,& F green_room G ! yellow_room
enter the room that is not yellow and then proceed to the green room,& F green_room G ! yellow_room
move to the room that is not yellow and then move into the green room,& F green_room G ! yellow_room
enter the room through the door that is not yellow drive through the room and exit the other door to the green room,& F green_room G ! yellow_room
to reach the green room do not go through the yellow room,& F green_room G ! yellow_room
travel to the green room but do not go through the yellow room,& F green_room G ! yellow_room
go to the green room but avoid the yellow room,& F green_room G ! yellow_room
go to the green room avoiding the yellow room,& F green_room G ! yellow_room
go to the green room but avoid the yellow room,& F green_room G ! yellow_room
go to green room but do not enter yellow room,& F green_room G ! yellow_room
go to the green room but avoid using the yellow room,& F green_room G ! yellow_room
travel to the green room through the room that is not yellow,& F green_room G ! yellow_room
go into the green room while totally avoiding the yellow room,& F green_room G ! yellow_room
go to the green room but do not go to yellow,& F green_room G ! yellow_room
go to the green room while avoiding the yellow rooms,& F green_room G ! yellow_room
go to the green room but do not enter the yellow room,& F green_room G ! yellow_room
avoid the yellow rooms on your way into the green rooms,& F green_room G ! yellow_room
get to the green rectangle but do not go through the yellow square,& F green_room G ! yellow_room
enter the green room without entering a yellow room,& F green_room G ! yellow_room
do not go through the yellow room while going to the green room,& F green_room G ! yellow_room
go to the green room but avoid going through the yellow room,& F green_room G ! yellow_room
go through the yellow or red room to reach the blue room,F & | red_room yellow_room F blue_room
go the red or yellow room into the blue room,F & | red_room yellow_room F blue_room
move the robot from the pink room to the yellow or red room to the big blue room,F & | red_room yellow_room F blue_room
go through the red or yellow room to reach the blue room,F & | red_room yellow_room F blue_room
go through the passage into the blue room but only if you go through a yellow or red room first,F & | red_room yellow_room F blue_room
move to the blue room by going through red or yellow only,F & | red_room yellow_room F blue_room
enter the yellow or red room and then continue to the blue room,F & | red_room yellow_room F blue_room
go through the red or yellow room and go to the blue room,F & | red_room yellow_room F blue_room
go through the red or yellow to get to the blue room,F & | red_room yellow_room F blue_room
go through the yellow or red room and enter the blue room,F & | red_room yellow_room F blue_room
move through the yellow or red room to the blue room,F & | red_room yellow_room F blue_room
pass thru either the red or yellow box to get to the blue box,F & | red_room yellow_room F blue_room
go through the red or the yellow room to get to the blue room,F & | red_room yellow_room F blue_room
go to blue room by using red or yellow rooms first,F & | red_room yellow_room F blue_room
go through the yellow or red room to the blue room,F & | red_room yellow_room F blue_room
the robot has to go through the yellow or red room to get to the blue room,F & | red_room yellow_room F blue_room
go to the blue room through red or yellow,F & | red_room yellow_room F blue_room
go through the red or green room into the blue room,F & | red_room yellow_room F blue_room
go from the blue room to the red room then go from the red room to the green room,F & red_room F green_room
go to red room and then green room,F & red_room F green_room
go into the red room and then go into the green room,F & red_room F green_room
go to the red room then go to the green room,F & red_room F green_room
go to the red room go to the green room,F & red_room F green_room
go to red room go to green room,F & red_room F green_room
move to the red room then go to the green room,F & red_room F green_room
enter the red room then enter the green room,F & red_room F green_room
move to the red room move to the green room,F & red_room F green_room
go to the red room and then go to the green room,F & red_room F green_room
first go to red room then go to green room,F & red_room F green_room
go from the blue room to the red room and then go from the red room to the green room,F & red_room F green_room
go into the red room and enter the green room,F & red_room F green_room
move to red room move to green room,F & red_room F green_room
go to the red room and then the green room,F & red_room F green_room
go to the red room and then go into the green room,F & red_room F green_room
move to the red room then move to the green room,F & red_room F green_room
go to the red room then the green room,F & red_room F green_room
go to the red room then the green room,F & red_room F green_room
go to the red room and then go to the green room,F & red_room F green_room
move to the red room and move into the green room,F & red_room F green_room
go into the red room then go into the green room,F & red_room F green_room
move to the red room move to the green room,F & red_room F green_room
go to the red room then to the green room,F & red_room F green_room
go to the red room and then to green room,F & red_room F green_room
robot c move to the red room and then move to the green room,F & red_room F green_room
move from blue room to red room then move to green room,F & red_room F green_room
move to red room then move to green room,F & red_room F green_room
move into the red room then move into the green room,F & red_room F green_room
go to the red room and then go to the green room,F & red_room F green_room
go to the red room go to the green room,F & red_room F green_room
go to the red room and then go to the green room,F & red_room F green_room
move to the red room then move to the green room,F & red_room F green_room
go into the red room and then into the green room,F & red_room F green_room
move to the red room and then move to the green room,F & red_room F green_room
go to red room go to green room,F & red_room F green_room
go to red room go to green room,F & red_room F green_room
go to red room go to green room,F & red_room F green_room
go to red room go to green room,F & red_room F green_room
move to the red room and then move to the green room,F & red_room F green_room
go to the red room go to the green room,F & red_room F green_room
move to the green room,F green_room
move to the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
move to the green room,F green_room
go in and then go into the green room,F green_room
move to the green room,F green_room
go in and then go to the green room,F green_room
move to the green room,F green_room
move to the green room,F green_room
go to the green room,F green_room
move to the green room,F green_room
move to the green room,F green_room
go to the green room,F green_room
move to the green room,F green_room
move to the middle of the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
go into the green room,F green_room
move to green room,F green_room
go to the green room,F green_room
move until you are one square into the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
leave this room and go into the green room,F green_room
go to the green room,F green_room
move to the green room,F green_room
move to green room,F green_room
go to the green room,F green_room
move to green room,F green_room
go into the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
exit room and go right to the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
go into the green room,F green_room
go from the blue room to the red room then to the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
go to the green room,F green_room
move to yellow or red room them move to green room,F & | red_room yellow_room F green_room
the robot has to go through the red or yellow room to get to the green room,F & | red_room yellow_room F green_room
go through the yellow or red room and enter the green room,F & | red_room yellow_room F green_room
go through the yellow or red room into the green room,F & | red_room yellow_room F green_room
go thru the yellow or red box to get to the green box,F & | red_room yellow_room F green_room
go through either the red or the yellow room to get to the green room,F & | red_room yellow_room F green_room
get to the green room through red or yellow rooms only,F & | red_room yellow_room F green_room
move the robot through the yellow or red small room and then to the large green room,F & | red_room yellow_room F green_room
go through the yellow or red room to the green room,F & | red_room yellow_room F green_room
enter the yellow or red room and proceed to the green room,F & | red_room yellow_room F green_room
move to the green room by going through the yellow or red room,F & | red_room yellow_room F green_room
move through the yellow or red room to the green room,F & | red_room yellow_room F green_room
go through the yellow or red room to the green room,F & | red_room yellow_room F green_room
go through the yellow or red room to reach the green room,F & | red_room yellow_room F green_room
only go through the red or yellow to get to the green,F & | red_room yellow_room F green_room
go through yellow or red square to get to green square,F & | red_room yellow_room F green_room
go through the yellow or red room to reach the green room,F & | red_room yellow_room F green_room
go through red or yellow to get to green,F & | red_room yellow_room F green_room
move through the yellow or green room to the blue room,F & | green_room yellow_room F blue_room
go green or yellow to blue,F & | green_room yellow_room F blue_room
go green to blue or yellow to blue,F & | green_room yellow_room F blue_room
move through the green or yellow rooms and enter the blue room,F & | green_room yellow_room F blue_room
go through the yellow or green room to get to the blue room,F & | green_room yellow_room F blue_room
go through the green or yellow room to get to the blue room,F & | green_room yellow_room F blue_room
go to green or yellow room to blue room,F & | green_room yellow_room F blue_room
go through the yellow or green room to get to the blue room,F & | green_room yellow_room F blue_room
pass through the green or yellow room and enter into the blue room,F & | green_room yellow_room F blue_room
move through the yellow or green room to the blue room,F & | green_room yellow_room F blue_room
go through the green or yellow room to the blue room,F & | green_room yellow_room F blue_room
up through the green or yellow box to reach the blue box,F & | green_room yellow_room F blue_room
go to blue room through green or yellow room,F & | green_room yellow_room F blue_room
move toward either the yellow or green room then into the blue room,F & | green_room yellow_room F blue_room
go through either the yellow or the green room to get to the blue room,F & | green_room yellow_room F blue_room
go through the green or yellow room to the blue room,F & | green_room yellow_room F blue_room
move the robot to the small yellow or green room and then to the large blue room,F & | green_room yellow_room F blue_room
go through the yellow or green room to get to the blue room,F & | green_room yellow_room F blue_room
took the yellow room to the blue room and the green room to the blue room,F & | green_room yellow_room F blue_room
while avoiding the red room follow the shortest path to the blue room,& F blue_room G ! red_room
go to the blue room but do not pass through the red room,& F blue_room G ! red_room
head to the blue rectangular room without passing through a red square room,& F blue_room G ! red_room
go into the blue room without going through the red room,& F blue_room G ! red_room
move to blue room but do not go through the red room,& F blue_room G ! red_room
go to the blue room but do not use the red room to get there,& F blue_room G ! red_room
enter the blue room without crossing the red room,& F blue_room G ! red_room
avoid the red room and move to the blue room,& F blue_room G ! red_room
go through room that is not red to get to blue room,& F blue_room G ! red_room
go to blue but not through red,& F blue_room G ! red_room
take a path to reach the blue colour place by not taking the route which is red and black,& F blue_room G ! red_room
go through the opposite of the red room to reach the blue room,& F blue_room G ! red_room
go to blue but not through red,& F blue_room G ! red_room
go to the blue room but do not use the red room to get there,& F blue_room G ! red_room
go to the blue room without going through the red room,& F blue_room G ! red_room
the robot avoids the red to get to the blue,& F blue_room G ! red_room
got to blue room without going through red room,& F blue_room G ! red_room
go to blue room while avoiding red rooms,& F blue_room G ! red_room
go to the blue room but avoid the red room,& F blue_room G ! red_room
go to the blue but do not go through red,& F blue_room G ! red_room
enter the blue room without going through the red room,& F blue_room G ! red_room
go to the blue room while avoiding the red room,& F blue_room G ! red_room
do not go through the red room towards the blue room,& F blue_room G ! red_room
avoiding the red rectangle travel to the blue area,& F blue_room G ! red_room
move to the large blue room while avoiding the small red room,& F blue_room G ! red_room
go to the blue room but do not pass through the red room on your way,& F blue_room G ! red_room
never follow red path to reach blue room,& F blue_room G ! red_room
go to the blue area by avoiding red area,& F blue_room G ! red_room
move to blue room not using red room,& F blue_room G ! red_room
enter the blue room without entering a red room,& F blue_room G ! red_room
go only through rooms that are not red to get to the blue room,& F blue_room G ! red_room
the robot avoids the red room in going towards the blue room,& F blue_room G ! red_room
go to the blue room but avoid the red room,& F blue_room G ! red_room
without stepping on red spaces move into the blue room then stop once you enter it,& F blue_room G ! red_room
move to blue room but avoid the red room,& F blue_room G ! red_room
go to the blue room but do not use the red room to get there,& F blue_room G ! red_room
go through the room that is not red and enter the blue room,& F blue_room G ! red_room
enter blue room via the non red room,& F blue_room G ! red_room
enter the blue room without entering a red room,& F blue_room G ! red_room
move to the large blue room while avoiding the small red room,& F blue_room G ! red_room
go to the blue room but avoid the red room,& F blue_room G ! red_room
move to the blue room avoiding the red room,& F blue_room G ! red_room
go through the room which is not red to get to the blue room,& F blue_room G ! red_room
go to the blue room but avoid the red room,& F blue_room G ! red_room
go to the blue room but avoid the red room,& F blue_room G ! red_room
do not go through the red room towards the blue room,& F blue_room G ! red_room
enter the blue room by any room that is not red,& F blue_room G ! red_room
the robot avoids red to get to blue,& F blue_room G ! red_room
enter the room that is not red which will lead to the blue room,& F blue_room G ! red_room
go to the blue room while not passing through the red room on the way,& F blue_room G ! red_room
go only through rooms that are not red to get to the blue room,& F blue_room G ! red_room
go to blue but not through red,& F blue_room G ! red_room
go to blue via green or yellow but not red,& F blue_room G ! red_room
to reach the blue room do not go through the red room,& F blue_room G ! red_room
avoid red rooms while going to the blue one,& F blue_room G ! red_room
go to the blue area by avoiding red area,& F blue_room G ! red_room
go towards the blue room and avoid the red room,& F blue_room G ! red_room
move to the blue room without entering a red room,& F blue_room G ! red_room
avoid the red room and end at the blue rectangular room,& F blue_room G ! red_room
go through square that is not green to get the blue rectangular,& F blue_room G ! green_room
go to blue but not through green,& F blue_room G ! green_room
go through the room that is not green to get to the blue room,& F blue_room G ! green_room
go to the blue room but avoid the green room,& F blue_room G ! green_room
go to blue without going to green,& F blue_room G ! green_room
enter the blue room without crossing the green one,& F blue_room G ! green_room
enter the blue room without entering a green room,& F blue_room G ! green_room
go to blue room avoiding green,& F blue_room G ! green_room
walk to the blue room while avoiding the green room,& F blue_room G ! green_room
walk through any room except the green room to enter the blue room,& F blue_room G ! green_room
go to blue room without going to green room,& F blue_room G ! green_room
go to the blue room but avoid using the green room,& F blue_room G ! green_room
do not take the green room to reach the blue room,& F blue_room G ! green_room
go to the blue room while avoiding the green room,& F blue_room G ! green_room
reach blue room without going through green room,& F blue_room G ! green_room
go to blue area by avoiding green area,& F blue_room G ! green_room
get to the blue room by avoiding the green room,& F blue_room G ! green_room
enter the room that is not green and proceed through to the blue room,& F blue_room G ! green_room
only go through rooms that are not green to get to the blue room,& F blue_room G ! green_room
go through the room that is not green and enter the blue room,& F blue_room G ! green_room
drive through the room that is not green and enter the blue room,& F blue_room G ! green_room
pass through any room that is not green to reach the blue room,& F blue_room G ! green_room
do not go through the green room towards the blue room,& F blue_room G ! green_room
avoid green go to blue,& F blue_room G ! green_room
going through the red room or the yellow room straight to the blue room avoiding the green room,& F blue_room G ! green_room
move to the blue room avoiding the green room,& F blue_room G ! green_room
go to the blue area by avoiding green area,& F blue_room G ! green_room
enter into the room that is not green and continue through that room into the blue room,& F blue_room G ! green_room
move to the blue room without entering a green room,& F blue_room G ! green_room
go to the blue room but do not go through the green room,& F blue_room G ! green_room
go to blue but not through green,& F blue_room G ! green_room
go through the room that is not green to the blue room,& F blue_room G ! green_room
avoiding green navigate to blue,& F blue_room G ! green_room
get to the blue area by avoiding the green room,& F blue_room G ! green_room
go to the blue room through the room that is not green,& F blue_room G ! green_room
enter the room that isnt green then go to the blue room,& F blue_room G ! green_room
enter the blue room without entering a green room,& F blue_room G ! green_room
travel to the blue room through the room that is not green,& F blue_room G ! green_room
go towards the blue room and avoid the green room,& F blue_room G ! green_room
go to the blue room without passing through the green room,& F blue_room G ! green_room
move to the blue room without using the green room,& F blue_room G ! green_room
do not enter the blue room through the green room but by the red room,& F blue_room G ! green_room
go to the blue room and do not use the green room,& F blue_room G ! green_room
go to the blue room while avoiding the green room,& F blue_room G ! green_room
entering any room that is not green will lead you to the blue room,& F blue_room G ! green_room
move to the large blue room while avoiding the small green room,& F blue_room G ! green_room
go to the green room but avoid the blue room,& F green_room G ! blue_room
go to green without going through blue,& F green_room G ! blue_room
enter the green room without passing the blue one,& F green_room G ! blue_room
avoid the blue room and move to the green room,& F green_room G ! blue_room
avoid the blue room to get to the green room,& F green_room G ! blue_room
pass through the non blue room to reach the green room,& F green_room G ! blue_room
avoid the blue room when proceeding to the green room,& F green_room G ! blue_room
go to the green room but avoid using the blue room,& F green_room G ! blue_room
go to the green room but do not go through the blue room,& F green_room G ! blue_room
enter the room that is not blue then go to the green room,& F green_room G ! blue_room
go through the room that is not blue to the green room,& F green_room G ! blue_room
enter the green room without entering a blue room,& F green_room G ! blue_room
go to the red room or the yellow room and head straight away to the green room avoiding the blue room,& F green_room G ! blue_room
go to green but not through blue,& F green_room G ! blue_room
go to green room avoiding blue,& F green_room G ! blue_room
do not go through the blue room towards the green room,& F green_room G ! blue_room
