Pattern Type,Number of Propositions,Utterance,True LTL,City
visit,1,Navigate straight to Andaz 5th Avenue.,F andaz,New York #2
visit,1,Avoid the New York Public Library as much as possible while navigating to Andaz 5th Avenue.,F andaz,New York #2
visit,1,Pass the New York Public Library on your route to Andaz 5th Avenue,F andaz,New York #2
visit,1,Go past the New York Library then straight to Andaz on 5th Avenue.,F andaz,New York #2
visit,2,Go to Bravo Pizza then advance to Andaz,F & bravo_pizza F andaz,New York #2
visit,2,Make a stop at Bravo Pizza on the way to Andaz.,F & bravo_pizza F andaz,New York #2
visit,2,Travel to the pizza restaurant on your way to the 4-star hotel.,F & bravo_pizza F andaz,New York #2
visit,2,Hit Bravo Pizza then to down to Andaz hotel.,F & bravo_pizza F andaz,New York #2
visit,2,Go to Bravo Pizza on your way to Andaz,F & bravo_pizza F andaz,New York #2
visit,2,Turn right at Bravo Pizza and head to the Aridaz.,F & bravo_pizza F andaz,New York #2
visit,2,First go to Bravo Pizza and then to Andaz 5th Avenue.,F & bravo_pizza F andaz,New York #2
visit,2,"Head to Bravo Pizza, then go to the Andaz 5th Avenue hotel.",F & bravo_pizza F andaz,New York #2
visit,2,Enter then exit Bravo pizza and then navigate to the New York Public Library.,F & bravo_pizza F andaz,New York #2
visit,2,First go directly to Bravo Pizza and then move to Andaz.,F & bravo_pizza F andaz,New York #2
visit,2,Navigate to Bravo Pizza by avoiding the New York Library.,F & new_york_public_library F bravo_pizza,New York #2
visit,2,Navigate to New York Public Library on you way to Bravo Pizza.,F & new_york_public_library F bravo_pizza,New York #2
visit,2,Navigate to the library and then to the pizza restaurant.,F & new_york_public_library F bravo_pizza,New York #2
visit,2,Go to New York Public Library on your way to Bravo Pizza,F & new_york_public_library F bravo_pizza,New York #2
visit,2,Stop at the New York Public Library before heading to Bravo Pizza.,F & new_york_public_library F bravo_pizza,New York #2
visit,2,Move to New York Public Library and after that move to Bravo Pizza,F & new_york_public_library F bravo_pizza,New York #2
visit,2,"Go to the New York Public Library, then go to Bravo Pizza.",F & new_york_public_library F bravo_pizza,New York #2
visit,2,Hit the New York Library building and then go right towards Bravo's restaurant.,F & new_york_public_library F bravo_pizza,New York #2
visit,2,Move to New York Pizza and than navigate to Bravo Pizza,F & new_york_public_library F bravo_pizza,New York #2
visit,2,Move to Bravo Pizza by going through the New York Public Library.,F & new_york_public_library F bravo_pizza,New York #2
visit,2,Navigate to the New York Public Library by avoiding Andaz hotel,F & andaz F new_york_public_library,New York #2
visit,2,Go to the hotel and then hit the Library.,F & andaz F new_york_public_library,New York #2
visit,2,Proceed first to the hotel and then to the public library.,F & andaz F new_york_public_library,New York #2
visit,2,Navigate to the Andaz hotel and then make your way to the New York Public Library.,F & andaz F new_york_public_library,New York #2
visit,2,"Go to Andaz hotel, then go to the New York Public Library.",F & andaz F new_york_public_library,New York #2
visit,2,First go to Andaz and then after that go to the New York Public Library.,F & andaz F new_york_public_library,New York #2
visit,2,Go through Andaz while on your way to the New York Public Library,F & andaz F new_york_public_library,New York #2
visit,2,Stop at the Aridaz before heading to the New York Public Library.,F & andaz F new_york_public_library,New York #2
visit,2,go to the hotel and then the library,F & andaz F new_york_public_library,New York #2
visit,2,Go to Andaz 5th Avenue and then too New York Public Library.,F & andaz F new_york_public_library,New York #2
visit,1,Go straight towards Novel Cafe Westwood,F novel_cafe_westwood,Los Angeles #1
visit,1,Move straight to Novel Cafe.,F novel_cafe_westwood,Los Angeles #1
visit,1,Go straight to Novel Café.,F novel_cafe_westwood,Los Angeles #1
visit,1,Navigate to the Novel Cafe.,F novel_cafe_westwood,Los Angeles #1
visit,1,Go straight to the other side of the block at the Novel Cafe Westwood.,F novel_cafe_westwood,Los Angeles #1
visit,1,Drive past Native foods than land at Novel Cafe.,F novel_cafe_westwood,Los Angeles #1
visit,1,"Avoid Veggie Grill on your way to Novel Cafe.
Navigate to the cafe and avoid turning left to the grill.
Proceed to the Novel Cafe Westwood while avoiding the vegan restaurant.",F novel_cafe_westwood,Los Angeles #1
visit,1,Go to Novel Cafe.,F novel_cafe_westwood,Los Angeles #1
visit,1,Avoid the Veggie Grill on your way to the Novel Cafe.,F novel_cafe_westwood,Los Angeles #1
visit,1,Make your way in a straight line to Novel Cafe Westwood,F novel_cafe_westwood,Los Angeles #1
visit,2,Navigate to Novel Café on your way to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,"Go to the Novel Cafe, then continue on to the Veggie Grill, avoiding Urban Outfitters on the way.",F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,Go to Novel Cafe Westwood on your way to Veggie Grill,F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,Proceed to the cafe and then to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,"Go to the Novel Cafe Westwood, then head to the Veggie Grill.",F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,Move to Movel Cafe Westwood and than navigate to veggie grill.,F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,Go straight and stop at the Novel Cafe Westwood before heading in a 45 degree angle to the Veggie Grill.,F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,Go to Novel Cafe and then over to the vegan grill,F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,Go to Novel Cafe and then turn to go to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,Go to Novel Cafe then directly to Veggie Grill.,F & novel_cafe_westwood F veggie_grill,Los Angeles #1
visit,2,Go to Urban Outfitters on your way to Novel Cafe Westwood,F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,First navigate to Urban Outfitters and then to Novel Café.,F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,Hit Urban Outfitters than swing left to the novel cafe.,F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,Go across Westwood Boulevard to Urban Outfitters and then reverse to Novel Cafe.,F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,"Go to Urban Outfitters, then go to Novel Cafe.",F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,Go straight until you read the Urban Outfitters and then go left to Novel Cafe Westwood.,F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,Go straight to the Novel Cafe while avoiding the Veggie Grill.,F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,Head to Urban Outfitters and then over to Novel Cafe,F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,Go in a straight line to Urban Outfitters before making your next stop at Novel Cafe,F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,navigate to Urban Outfitters then proceed to the cafe,F & urban_outfitters F novel_cafe_westwood,Los Angeles #1
visit,2,Navigate to Urban Outfitters while passing through the Veggie Grill.,F & veggie_grill F urban_outfitters,Los Angeles #1
visit,2,First go to Veggie Grill and then go to Urban Outfitters.,F & veggie_grill F urban_outfitters,Los Angeles #1
visit,2,Go to Veggie Grill on your way to Urban Outfitters,F & veggie_grill F urban_outfitters,Los Angeles #1
visit,2,Go to the vegan restaurant on your way to Urban Outfitters.,F & veggie_grill F urban_outfitters,Los Angeles #1
visit,2,"Go to the Veggie Grill, then go to Urban Outfitters.",F & veggie_grill F urban_outfitters,Los Angeles #1
visit,2,Go straight before turning at the Veggie Grill and then turn left.,F & veggie_grill F urban_outfitters,Los Angeles #1
visit,2,Move toward veggie grill.,F & veggie_grill F urban_outfitters,Los Angeles #1
visit,2,Disregard the Novel Cafe Westwood entirely on the way to Veggie Grill.,F & veggie_grill F urban_outfitters,Los Angeles #1
visit,2,Make a stop at the Veggie Grill on your way to Urban Outfitters.,F & veggie_grill F urban_outfitters,Los Angeles #1
visit,2,Go to Veggie Grill for your first stop and then head to Urban Outfitters,F & veggie_grill F urban_outfitters,Los Angeles #1
visit,1,Pass the Indonesian Consulate and stop outside Robek's Juice on Wilshire.,F robeks_juice,Los Angeles #2
visit,1,Navigate to Robeks Juice,F robeks_juice,Los Angeles #2
visit,1,Proceed straight to the juice shop.,F robeks_juice,Los Angeles #2
visit,1,Go straight to Robeks Juice,F robeks_juice,Los Angeles #2
visit,1,Can you show me where exactly is Robeks Juice is located,F robeks_juice,Los Angeles #2
visit,1,Navigate to Robeks Juice but avoid Big 5 Sporting Goods along the way.,F robeks_juice,Los Angeles #2
visit,1,Travel straight to Robeks Fresh Juices & Smoothies.,F robeks_juice,Los Angeles #2
visit,1,Go to Robeks Juice.,F robeks_juice,Los Angeles #2
visit,1,Go straight across Wilshire Boulevard and stop at Robek's Juice.,F robeks_juice,Los Angeles #2
visit,1,Proceed straight to Robeks Juice,F robeks_juice,Los Angeles #2
visit,2,Go to Big 5 Sporting Goods while on your way to Robeks Juice,F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,Go to the sporting goods store and then to the juice shop.,F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,Navigate to Big 5 Sporting Goods and than move to Robeks Juice.,F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,Go straight until you reach Big 5 Sporting Goods and then go west to Robeks Juice.,F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,Pass by Big 5 Sporting Good to arrive at Robeks Juice,F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,proceed to Big 5 Sporting goods then advance to Robeks Juice.,F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,Navigate to Big 5 Sporting Goods and then Robeks Fresh Juices & Smoothies.,F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,"Go to Big 5 Sporting Goods, then go to Robeks Juice.",F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,Swing by Big 5 Sporting Goods on your way to Robeks Juice.,F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,Proceed to Robek's juice shop through Big 5 sporting goods.,F & big_5_sporting_goods F robeks_juice,Los Angeles #2
visit,2,Navigate to Big 5 Sporting Goods while passing through Robeks Juice,F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,Move to the juice shop followed by the sporting goods store.,F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,Nagivate to Robeks Fresh Juices & Smoothies and then move to Big 5 Sporting Goods.,F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,Go to Robeks Juice while on your way to Big 5 Sporting Goods,F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,First travel to Robeks Fresh Juices & Smoothies and then to Big 5 Sporting Goods.,F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,Head towards Robeks Huice and than navigate to Big 5 Sporting Goods.,F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,Stop at Robek's Juice befrore going east to Big 5 Sporting Goods.,F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,"Go to Robeks Fresh Juices & Smoothies, then head to Big 5 Sporting Goods.",F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,Go to the Smoothie shop and then head to the Sporting Goods store,F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,"Go down to Robeks Fresh Juices & Smoothies, then head over to Big 5 Sporting Goods.",F & robeks_juice F big_5_sporting_goods,Los Angeles #2
visit,2,Go to The Line then on to Robeks Juice.,F & the_line F robeks_juice,Los Angeles #2
visit,2,Go to The Line while on your way to Robeks Juice,F & the_line F robeks_juice,Los Angeles #2
visit,2,Go to Robeks Juice and stop by The Line along the way.,F & the_line F robeks_juice,Los Angeles #2
visit,2,Navigate to The Line and than head towards Robeks Juice.,F & the_line F robeks_juice,Los Angeles #2
visit,2,"Go to The Line, then go to Robeks Juice.",F & the_line F robeks_juice,Los Angeles #2
visit,2,Go straight to The Line and then head southeast to Robek's Juice.,F & the_line F robeks_juice,Los Angeles #2
visit,2,Go to The LINE Los Angeles and then to Robeks Fresh Juices & Smoothies.,F & the_line F robeks_juice,Los Angeles #2
visit,2,"Advance to The Line, then proceed to the Juice Store.",F & the_line F robeks_juice,Los Angeles #2
visit,2,Check in at the hotel and then go to get some juice at Robeks,F & the_line F robeks_juice,Los Angeles #2
visit,2,Go to The Line before heading to Robeks Juice.,F & the_line F robeks_juice,Los Angeles #2
visit,1,Avoid Big 5 Sporting Goods while on your way to Robeks Juice,F dominos,Chicago #1
visit,1,Go around Big 5 Sporting Goods and go to Robeks Juice.,F dominos,Chicago #1
visit,1,Navigate to Robeks Juice and avoid Big 5 Sporting Goods,F dominos,Chicago #1
visit,1,Go around Big 5 on your route to Robek's Juice,F dominos,Chicago #1
visit,1,Make a half loop around Big 5 Sporting Goods and head straight to Robek's Juice.,F dominos,Chicago #1
visit,1,Proceed to Robeks Juice while avoiding Big 5 Sporting Goods,F dominos,Chicago #1
visit,1,Take a detour around Big 5 Sporting Goods on the way to Robeks Juice.,F dominos,Chicago #1
visit,1,Go right around Big S Sporting Goods and the Juice Shop.,F dominos,Chicago #1
visit,1,Go to Robeks Juice while avoiding Big 5 Sporting Goods along the way.,F dominos,Chicago #1
visit,1,Bypass Big 5 as you enter the juice shop.,F dominos,Chicago #1
visit,2,Go to Lee Nails while on your way to Domino's,F & lee_nails F dominos,Chicago #1
visit,2,Go straight to Lee Nails and then cross West Devon Avenue.,F & lee_nails F dominos,Chicago #1
visit,2,"Head down to Lee Nail Salon, then go to Domino's Pizza.",F & lee_nails F dominos,Chicago #1
visit,2,Go to the nail salon on your way to Domino's Pizza.,F & lee_nails F dominos,Chicago #1
visit,2,Pass by Lees Nails on the way to Domino's Pizza,F & lee_nails F dominos,Chicago #1
visit,2,Make your way to Domino's while passing through the nail shop.,F & lee_nails F dominos,Chicago #1
visit,2,"Go to Lee Nail Salon, then Domino's Pizza.",F & lee_nails F dominos,Chicago #1
visit,2,Navigate to  Lee Nail Salon and then to Domino's Pizza.,F & lee_nails F dominos,Chicago #1
visit,2,navigate to Lee Nails then proceed to Dominos Pizza.,F & lee_nails F dominos,Chicago #1
visit,2,Navigate to Domino's while avoiding Lee's Nail's.,F & lee_nails F dominos,Chicago #1
visit,2,Go straight to Domino's and then turn left to My Sister's Closet.,F & dominos F my_sisters_closet,Chicago #1
visit,2,Navigate to Domino's and than move to My Sister's Closet.,F & dominos F my_sisters_closet,Chicago #1
visit,2,Navigate to Domino's Pizza and then move to My Sister's Closet Resale,F & dominos F my_sisters_closet,Chicago #1
visit,2,Go to the pizza place and then to the resale shop,F & dominos F my_sisters_closet,Chicago #1
visit,2,Go straight to Dominoes then head to My sister's closet.,F & dominos F my_sisters_closet,Chicago #1
visit,2,Go to Dominos while on your way to My Sister's Closet Resale,F & dominos F my_sisters_closet,Chicago #1
visit,2,Travel to Domino's Pizza  on your way to My Sister's Closet.,F & dominos F my_sisters_closet,Chicago #1
visit,2,Navigate to Lee Nail Salon by passing by Domino's Pizza,F & dominos F my_sisters_closet,Chicago #1
visit,2,Navigate between Domino's and Lee Nails to My Sister's Closet.,F & dominos F my_sisters_closet,Chicago #1
visit,2,"Go to Domino's Pizza, then to My Sister's Closet.",F & dominos F my_sisters_closet,Chicago #1
visit,2,Go through My Sister's Closet Resale and end up at Lee Nails.,F & my_sisters_closet F lee_nails,Chicago #1
visit,2,"Travel to My Sister's Closet Resale, then keep going to Lee Nail Salon.",F & my_sisters_closet F lee_nails,Chicago #1
visit,2,Go to Lee Nail Salon by passing by My Sister's Closet Resale,F & my_sisters_closet F lee_nails,Chicago #1
visit,2,Navigate to My Sister's Closet Resale and then on to Lee Nail Salon,F & my_sisters_closet F lee_nails,Chicago #1
visit,2,Proceed to Lee Nails while passing by My Sister's Closet.,F & my_sisters_closet F lee_nails,Chicago #1
visit,2,Move to My Sister's Closet and than navigate to Lee Nails.,F & my_sisters_closet F lee_nails,Chicago #1
visit,2,Go to My Sister's Closet on your way to Lee Nail Salon.,F & my_sisters_closet F lee_nails,Chicago #1
visit,2,Go to My Sister's Closet while on your way to Lee Nails Salon,F & my_sisters_closet F lee_nails,Chicago #1
visit,2,Go straight past My Sister's Closet and on to Lee Nails.,F & my_sisters_closet F lee_nails,Chicago #1
visit,2,Make your first stop at My Sister's Closet before making your next stop at Lee's Nails,F & my_sisters_closet F lee_nails,Chicago #1
visit,1,Go straight to The Chicago Diner,F the_chicago_diner,Chicago #2
visit,1,Go past 7-Eleven on the way to The Chicago Diner.,F the_chicago_diner,Chicago #2
visit,1,Go to the Chicago Diner.,F the_chicago_diner,Chicago #2
visit,1,Navigate to the Chicago Diner while avoiding Beatnix to the left.,F the_chicago_diner,Chicago #2
visit,1,Take me to Chicago Diner but avoid Beatnix at all costs.,F the_chicago_diner,Chicago #2
visit,1,Go Straight past 7 Eleven convenience store to arrive at the Chicago Diner.,F the_chicago_diner,Chicago #2
visit,1,Go straight to the vegan restaurant.,F the_chicago_diner,Chicago #2
visit,1,Head in a straight line to Chicago Diner,F the_chicago_diner,Chicago #2
visit,1,Head straight to Chicago Diner,F the_chicago_diner,Chicago #2
visit,1,Go directly to The Chicago Diner.,F the_chicago_diner,Chicago #2
visit,2,Navigate to Wood and avoid Beatnix.,F & beatnix F wood,Chicago #2
visit,2,"Head straight for Beatrix, then make your way to Wood",F & beatnix F wood,Chicago #2
visit,2,Go to Beatnix while on your way to Wood,F & beatnix F wood,Chicago #2
visit,2,Visit Beatnix on your way to Wood restaurant.,F & beatnix F wood,Chicago #2
visit,2,Stop at Beatrix on your way to Wood,F & beatnix F wood,Chicago #2
visit,2,Go straight to Beatnix and then head south to Wood.,F & beatnix F wood,Chicago #2
visit,2,Navigate to the restaurant while avoiding Beatnix.,F & beatnix F wood,Chicago #2
visit,2,Go over to Beatnix then travel down to Wood.,F & beatnix F wood,Chicago #2
visit,2,Drive to Beatnix and then proceed to Wood,F & beatnix F wood,Chicago #2
visit,2,"Go to Beatnix, then go to Wood.",F & beatnix F wood,Chicago #2
visit,2,"Head in a straight line to your first stop at Beatrix, and then go to Chicago Diner",F & beatnix F the_chicago_diner,Chicago #2
visit,2,Go to Beatnix while on your way to The Chicago Diner,F & beatnix F the_chicago_diner,Chicago #2
visit,2,"When you get to Beatnix, turn right and head to The Chicago Diner.",F & beatnix F the_chicago_diner,Chicago #2
visit,2,Head straight to Beatnix and then across the street to the Chicago Diner,F & beatnix F the_chicago_diner,Chicago #2
visit,2,Proceed to Beatrix then on to The Chicago Diner.,F & beatnix F the_chicago_diner,Chicago #2
visit,2,Go to the clothing store and then to Chicago Diner.,F & beatnix F the_chicago_diner,Chicago #2
visit,2,Avoid Beatnix only to land at the Diner.,F & beatnix F the_chicago_diner,Chicago #2
visit,2,Head west on West Roscoe Street and stop at Beatnix on the way to The Chicago Diner.,F & beatnix F the_chicago_diner,Chicago #2
visit,2,"Go to Beatnix, then go to the Chicago Diner.",F & beatnix F the_chicago_diner,Chicago #2
visit,2,Go straight to Beatnix and then head north to The Chicago Diner.,F & beatnix F the_chicago_diner,Chicago #2
visit,2,Advance to Wood then proceed to the diner.,F & wood F the_chicago_diner,Chicago #2
visit,2,"Proceed first to the restaurant named Wood, then straight from there to the Chicago Diner",F & wood F the_chicago_diner,Chicago #2
visit,2,"Go to Wood, then go to the Chicago Diner.",F & wood F the_chicago_diner,Chicago #2
visit,2,Navigate to The Wood and than move to The Chicago Diner.,F & wood F the_chicago_diner,Chicago #2
visit,2,Go to Wood while on your way to Chicago Diner,F & wood F the_chicago_diner,Chicago #2
visit,2,First go to Wood. After Wood go to The Chicago Diner.,F & wood F the_chicago_diner,Chicago #2
visit,2,Go straight to Wood and then head north to The Chicago Diner.,F & wood F the_chicago_diner,Chicago #2
visit,2,"Go to Wood, it's the Stylish spot with handcrafted drinks, and then go to The Chicago Diner.",F & wood F the_chicago_diner,Chicago #2
visit,2,Go to the American restaurant named Wood then move to Chicago Diner.,F & wood F the_chicago_diner,Chicago #2
visit,2,"Go to Wood, and then turn right and head to The Chicago Diner.",F & wood F the_chicago_diner,Chicago #2
visit,1,Move to Cajun restaurant.,F catfish_station,Houston
visit,1,"In a straight line, make your way to Catfish Station, which is your stop",F catfish_station,Houston
visit,1,Go straight across Kirby Drive until you reach Catfish Station.,F catfish_station,Houston
visit,1,Go straight to Catfish Station.,F catfish_station,Houston
visit,1,Go straight to Catfish Station,F catfish_station,Houston
visit,1,Travel to Catfish Station but avoid Viet's Express.,F catfish_station,Houston
visit,1,move to Catfish Station and avoid Viet's Express,F catfish_station,Houston
visit,1,Navigate West on La Concha Lane and arrive at Catfish Station without going near TGF Hair Salon.,F catfish_station,Houston
visit,1,Navigate to the Catfish Station while avoiding Viet's Express.,F catfish_station,Houston
visit,1,Go to Catfish Station.,F catfish_station,Houston
visit,2,Navigate to Viet's Express while passing through Catfish Station.,F & catfish_station F viets_express,Houston
visit,2,Go straight until you reach Catfish station and then head northeast to Wet's Express.,F & catfish_station F viets_express,Houston
visit,2,"Move to Viet's Express, but go to Catfish Station first.",F & catfish_station F viets_express,Houston
visit,2,"Make your way to Catfish Station and stop, then make your next stop at Viet's Express",F & catfish_station F viets_express,Houston
visit,2,Proceed through the restaurant and make your way to Viet's Express.,F & catfish_station F viets_express,Houston
visit,2,Go to the Cajun restaurant and then to Viet's Express,F & catfish_station F viets_express,Houston
visit,2,Move to the Cajun restaurant and then to the Vietnamese restaurant.,F & catfish_station F viets_express,Houston
visit,2,Navigate straight ahead to the Catfish Station and then travel northeast until you arrive at the Viet's Express.,F & catfish_station F viets_express,Houston
visit,2,Go to Catfish Station while on your way to Viet's Express,F & catfish_station F viets_express,Houston
visit,2,Proceed to Catfish Station and take a sharp right  45 degree turn.,F & catfish_station F viets_express,Houston
visit,2,Travel directly to TGF Hair Salon then go to Catfish Station.,F & tgf_hair_salon F catfish_station,Houston
visit,2,Pass the Hair Salon and land at your destination Catfish Station.,F & tgf_hair_salon F catfish_station,Houston
visit,2,"Head to TGF Hair Salon, then go to Catfish Station.",F & tgf_hair_salon F catfish_station,Houston
visit,2,Navigate to the Catfish Station from the TGF Hair Salon,F & tgf_hair_salon F catfish_station,Houston
visit,2,Go to TGF Hair Salon while on your way to Catfish Station,F & tgf_hair_salon F catfish_station,Houston
visit,2,Navigate to Catfish Station while passing through TGF Hair Salon.,F & tgf_hair_salon F catfish_station,Houston
visit,2,Make a stop at TGF Hair Salon on the way to Catfish Station,F & tgf_hair_salon F catfish_station,Houston
visit,2,Navigate to TGF hair salon on your way to the Cajun restaurant.,F & tgf_hair_salon F catfish_station,Houston
visit,2,Move to Catfish station but be sure to proceed through TGF hair salon.,F & tgf_hair_salon F catfish_station,Houston
visit,2,Go straight to TGF Hair Salon and then go northeast to Catfish Station.,F & tgf_hair_salon F catfish_station,Houston
visit,2,Avoid Catfish Station on the way to TGF Hair Salon.,F & viets_express F tgf_hair_salon,Houston
visit,2,Navigate to Viet 's Express on your way to TGT Hair Salon.,F & viets_express F tgf_hair_salon,Houston
