nl_command,ltl,map_name
Go to the clothing store and then head to the bakery.,F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
"Go to Unique Hype Collection, then head to Tai Pan Bakery.",F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
Pass through Unique Hype collection on the way to Taipan Bakery.,F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
Navigate to the Unique Hype Collection and then on to the Tai Pan Bakery.,F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
Go through the Unique Hype Collection on your way to the Tai Pan Bakery,F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
Head to the clothing store and then to Taipan Bakery.,F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
First go to Unique Hype Collection and then continue to Taipan Bakery.,F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
Navigate to Tain Pan Bakery avoid Eastern States Buddhist Temple.,F ( unique_hype_collection & F ( taipan_bakery ) ),New York #1
Head straight to Andaz,F ( andaz ),New York #2
Move directly to the 4-star hotel.,F ( andaz ),New York #2
Go to Andaz 5th Avenue hotel.,F ( andaz ),New York #2
Go past the New York Public Library and head straight to Aridaz.,F ( andaz ),New York #2
Move to the right and avoid the library and Bravo pizza.,F ( andaz ),New York #2
Avoid the New York Public Library on your way to Andaz,F ( andaz ),New York #2
Navigate straight to Andaz 5th Avenue.,F ( andaz ),New York #2
Avoid the New York Public Library as much as possible while navigating to Andaz 5th Avenue.,F ( andaz ),New York #2
Pass the New York Public Library on your route to Andaz 5th Avenue,F ( andaz ),New York #2
Go past the New York Library then straight to Andaz on 5th Avenue.,F ( andaz ),New York #2
Go to Bravo Pizza then advance to Andaz,F ( bravo_pizza & F ( andaz ) ),New York #2
Make a stop at Bravo Pizza on the way to Andaz.,F ( bravo_pizza & F ( andaz ) ),New York #2
Travel to the pizza restaurant on your way to the 4-star hotel.,F ( bravo_pizza & F ( andaz ) ),New York #2
Hit Bravo Pizza then to down to Andaz hotel.,F ( bravo_pizza & F ( andaz ) ),New York #2
Go to Bravo Pizza on your way to Andaz,F ( bravo_pizza & F ( andaz ) ),New York #2
Turn right at Bravo Pizza and head to the Aridaz.,F ( bravo_pizza & F ( andaz ) ),New York #2
First go to Bravo Pizza and then to Andaz 5th Avenue.,F ( bravo_pizza & F ( andaz ) ),New York #2
"Head to Bravo Pizza, then go to the Andaz 5th Avenue hotel.",F ( bravo_pizza & F ( andaz ) ),New York #2
Enter then exit Bravo pizza and then navigate to the New York Public Library.,F ( bravo_pizza & F ( andaz ) ),New York #2
First go directly to Bravo Pizza and then move to Andaz.,F ( bravo_pizza & F ( andaz ) ),New York #2
Navigate to Bravo Pizza by avoiding the New York Library.,F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
Navigate to New York Public Library on you way to Bravo Pizza.,F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
Navigate to the library and then to the pizza restaurant.,F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
Go to New York Public Library on your way to Bravo Pizza,F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
Stop at the New York Public Library before heading to Bravo Pizza.,F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
Move to New York Public Library and after that move to Bravo Pizza,F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
"Go to the New York Public Library, then go to Bravo Pizza.",F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
Hit the New York Library building and then go right towards Bravo's restaurant.,F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
Move to New York Pizza and than navigate to Bravo Pizza,F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
Move to Bravo Pizza by going through the New York Public Library.,F ( new_york_public_library & F ( bravo_pizza ) ),New York #2
Navigate to the New York Public Library by avoiding Andaz hotel,F ( andaz & F ( new_york_public_library ) ),New York #2
Go to the hotel and then hit the Library.,F ( andaz & F ( new_york_public_library ) ),New York #2
Proceed first to the hotel and then to the public library.,F ( andaz & F ( new_york_public_library ) ),New York #2
Navigate to the Andaz hotel and then make your way to the New York Public Library.,F ( andaz & F ( new_york_public_library ) ),New York #2
"Go to Andaz hotel, then go to the New York Public Library.",F ( andaz & F ( new_york_public_library ) ),New York #2
First go to Andaz and then after that go to the New York Public Library.,F ( andaz & F ( new_york_public_library ) ),New York #2
Go through Andaz while on your way to the New York Public Library,F ( andaz & F ( new_york_public_library ) ),New York #2
Stop at the Aridaz before heading to the New York Public Library.,F ( andaz & F ( new_york_public_library ) ),New York #2
go to the hotel and then the library,F ( andaz & F ( new_york_public_library ) ),New York #2
Go to Andaz 5th Avenue and then too New York Public Library.,F ( andaz & F ( new_york_public_library ) ),New York #2
Avoid the New York Public Library on your way to Bravo Pizza.,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Avoid the New York Public Library on your way to Bravo Pizza,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Navigate towards the pizza restaurant through the new york public library while avoiding the Andaz hotel,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Go to Bravo Pizza by avoiding the New York Public Library,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Go below New York Public Library on you way to Bravo Pizza.,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Go around the New York Public Library towards the pizza joint.,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Go around the New York Public Library on the way to Bravo Pizza.,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Move to the pizza restaurant and avoid the public library.,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Go around the New York Public Library and head to Bravo Pizza,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Avoid the New York Public Library and go to Bravo Pizza.,F ( bravo_pizza & ~ new_york_public_library ),New York #2
Swing left hit the turn towards the Library.,F ( new_york_public_library & ~ andaz ),New York #2
Avoid Andaz on your way to New York Public Library,F ( new_york_public_library & ~ andaz ),New York #2
Avoid Andaz 5th Avenue on your way to  New York Public Library.,F ( new_york_public_library & ~ andaz ),New York #2
Avoid Andaz 5th Avenue hotel on your way to the New York Public Library.,F ( new_york_public_library & ~ andaz ),New York #2
Avoid the hotel as you proceed to the library.,F ( new_york_public_library & ~ andaz ),New York #2
Move to the New York Public Library while avoiding the Andaz Hotel.,F ( new_york_public_library & ~ andaz ),New York #2
Move to New York Public Library while avoiding Andaz,F ( new_york_public_library & ~ andaz ),New York #2
Go to the New York Public Library.,F ( new_york_public_library & ~ andaz ),New York #2
Avoid the Aridaz while heading straight to the New York Public Library.,F ( new_york_public_library & ~ andaz ),New York #2
"Go to New York Public Library, and make sure to stay away from Andaz 5th Avenue.",F ( new_york_public_library & ~ andaz ),New York #2
Avoid Bravo Pizza on your way to Andaz 5th Avenue.,F ( andaz & ~ bravo_pizza ),New York #2
Go around Bravo Pizza and go to the Andaz 5th Avenue hotel.,F ( andaz & ~ bravo_pizza ),New York #2
Avoid Bravo Pizza as you navigate to the 4-star hotel.,F ( andaz & ~ bravo_pizza ),New York #2
Go to Aridaz by avoiding Bravo Pizza restaurant on your way,F ( andaz & ~ bravo_pizza ),New York #2
avoid bravo pizza on your way to the Andaz,F ( andaz & ~ bravo_pizza ),New York #2
Avoid Bravo Pizza on your way to Andaz,F ( andaz & ~ bravo_pizza ),New York #2
Navigate to Andaz and avoid Bravo Pizza.,F ( andaz & ~ bravo_pizza ),New York #2
"Avoid the Bravo pizza restaurant on your way to Andaz
Navigate to the Andaz avoid the New York Public Library.
Move to the Andaz while avoiding the the Nw York Public Library.",F ( andaz & ~ bravo_pizza ),New York #2
Go around the Bravo Pizza on the way to the Aridaz.,F ( andaz & ~ bravo_pizza ),New York #2
Navigate to Andaz 5th avenue while avoiding the Pizzeria,F ( andaz & ~ bravo_pizza ),New York #2
Go straight towards Novel Cafe Westwood,F ( novel_cafe_westwood ),Los Angeles #1
Move straight to Novel Cafe.,F ( novel_cafe_westwood ),Los Angeles #1
Go straight to Novel Café.,F ( novel_cafe_westwood ),Los Angeles #1
Navigate to the Novel Cafe.,F ( novel_cafe_westwood ),Los Angeles #1
Go straight to the other side of the block at the Novel Cafe Westwood.,F ( novel_cafe_westwood ),Los Angeles #1
Drive past Native foods than land at Novel Cafe.,F ( novel_cafe_westwood ),Los Angeles #1
"Avoid Veggie Grill on your way to Novel Cafe.
Navigate to the cafe and avoid turning left to the grill.
Proceed to the Novel Cafe Westwood while avoiding the vegan restaurant.",F ( novel_cafe_westwood ),Los Angeles #1
Go to Novel Cafe.,F ( novel_cafe_westwood ),Los Angeles #1
Avoid the Veggie Grill on your way to the Novel Cafe.,F ( novel_cafe_westwood ),Los Angeles #1
Make your way in a straight line to Novel Cafe Westwood,F ( novel_cafe_westwood ),Los Angeles #1
Navigate to Novel Café on your way to Veggie Grill.,F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
"Go to the Novel Cafe, then continue on to the Veggie Grill, avoiding Urban Outfitters on the way.",F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
Go to Novel Cafe Westwood on your way to Veggie Grill,F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
Proceed to the cafe and then to Veggie Grill.,F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
"Go to the Novel Cafe Westwood, then head to the Veggie Grill.",F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
Move to Movel Cafe Westwood and than navigate to veggie grill.,F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
Go straight and stop at the Novel Cafe Westwood before heading in a 45 degree angle to the Veggie Grill.,F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
Go to Novel Cafe and then over to the vegan grill,F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
Go to Novel Cafe and then turn to go to Veggie Grill.,F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
Go to Novel Cafe then directly to Veggie Grill.,F ( novel_cafe_westwood & F ( veggie_grill ) ),Los Angeles #1
Go to Urban Outfitters on your way to Novel Cafe Westwood,F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
First navigate to Urban Outfitters and then to Novel Café.,F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
Hit Urban Outfitters than swing left to the novel cafe.,F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
Go across Westwood Boulevard to Urban Outfitters and then reverse to Novel Cafe.,F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
"Go to Urban Outfitters, then go to Novel Cafe.",F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
Go straight until you read the Urban Outfitters and then go left to Novel Cafe Westwood.,F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
Go straight to the Novel Cafe while avoiding the Veggie Grill.,F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
Head to Urban Outfitters and then over to Novel Cafe,F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
Go in a straight line to Urban Outfitters before making your next stop at Novel Cafe,F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
navigate to Urban Outfitters then proceed to the cafe,F ( urban_outfitters & F ( novel_cafe_westwood ) ),Los Angeles #1
Navigate to Urban Outfitters while passing through the Veggie Grill.,F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
First go to Veggie Grill and then go to Urban Outfitters.,F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
Go to Veggie Grill on your way to Urban Outfitters,F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
Go to the vegan restaurant on your way to Urban Outfitters.,F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
"Go to the Veggie Grill, then go to Urban Outfitters.",F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
Go straight before turning at the Veggie Grill and then turn left.,F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
Move toward veggie grill.,F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
Disregard the Novel Cafe Westwood entirely on the way to Veggie Grill.,F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
Make a stop at the Veggie Grill on your way to Urban Outfitters.,F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
Go to Veggie Grill for your first stop and then head to Urban Outfitters,F ( veggie_grill & F ( urban_outfitters ) ),Los Angeles #1
Avoid Veggie Grill on your way to Urban Outfitters,F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
Avoid Veggie Grill on your way to Urban Outfitters.,F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
Move to the clothing store while avoiding Veggie Grill.,F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
Can you locate where Urban Outfitters is?,F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
Navigate below Veggie Grill on your way to Urban Outfitters.,F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
Go past the Veggie Grill and turn left before heading straight to Urban Outfitters.,F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
"Avoid Veggie Grill on your way to Urban Outfitters.
Navigate to the Westwood boulevard and avoid restaurant
Move to the Subway while avoiding the the grill store.",F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
Avoid Veggie Grill and go to Urban Outfitters.,F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
Stay to the right of Veggie Grill on your way to Urban Outfitters.,F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
Go around the Veggie Grill before stopping at Urban OUtfitters,F ( urban_outfitters & ~ veggie_grill ),Los Angeles #1
Go around Urban Outfitters on your way to Novel Café.,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Avoid Urban Outfitters on your way to Novel Cafe Westwood,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Go past Urban Clothing to get to the Cafe.,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Avoid Urban Outfitters and navigate to Novel Cafe.,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Navigate to Novel Cafe while avoiding Urban Outfitters,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Navigate to Novel Cafe Westwood while avoiding Urban Outfitters .,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Go around Urban Outfitters and head to Novel Cafe.,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Go straight before turning right at the Urban Outfitters then head straight.,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Avoid Urban Outfitters while going to Novel Cafe.,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Move to Novel Cafe Westwood while avoiding Urban Outfitters.,F ( novel_cafe_westwood & ~ urban_outfitters ),Los Angeles #1
Avoid Novel Cafe Westwood on your way to Veggie Grill,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Make a loop around the Novel Cafe Westwood before heading straight to the Veggie Grill.,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Navigate to the Veggie Grill by driving past Novel Cafe.,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Navigate around Novel Café and then to Veggie Grill.,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Avoid the cafe on your way to the vegan restaurant.,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Avoid Novel Cafe and head to the Veggie Grill.,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Avoid Naval Cafe Westwood and head to Veggie Grill.,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Avoid Novel Cafe on your way to the Veggie Grill,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Make a U-turn around the Novel Cafe and head back in the same direction you came from as you go to Veggie Grill.,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Make a loop around Novel Cafe Westwood before making your stop at Veggie Grill,F ( veggie_grill & ~ novel_cafe_westwood ),Los Angeles #1
Pass the Indonesian Consulate and stop outside Robek's Juice on Wilshire.,F ( robeks_juice ),Los Angeles #2
Navigate to Robeks Juice,F ( robeks_juice ),Los Angeles #2
Proceed straight to the juice shop.,F ( robeks_juice ),Los Angeles #2
Go straight to Robeks Juice,F ( robeks_juice ),Los Angeles #2
Can you show me where exactly is Robeks Juice is located,F ( robeks_juice ),Los Angeles #2
Navigate to Robeks Juice but avoid Big 5 Sporting Goods along the way.,F ( robeks_juice ),Los Angeles #2
Travel straight to Robeks Fresh Juices & Smoothies.,F ( robeks_juice ),Los Angeles #2
Go to Robeks Juice.,F ( robeks_juice ),Los Angeles #2
Go straight across Wilshire Boulevard and stop at Robek's Juice.,F ( robeks_juice ),Los Angeles #2
Proceed straight to Robeks Juice,F ( robeks_juice ),Los Angeles #2
Go to Big 5 Sporting Goods while on your way to Robeks Juice,F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
Go to the sporting goods store and then to the juice shop.,F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
Navigate to Big 5 Sporting Goods and than move to Robeks Juice.,F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
Go straight until you reach Big 5 Sporting Goods and then go west to Robeks Juice.,F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
Pass by Big 5 Sporting Good to arrive at Robeks Juice,F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
proceed to Big 5 Sporting goods then advance to Robeks Juice.,F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
Navigate to Big 5 Sporting Goods and then Robeks Fresh Juices & Smoothies.,F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
"Go to Big 5 Sporting Goods, then go to Robeks Juice.",F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
Swing by Big 5 Sporting Goods on your way to Robeks Juice.,F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
Proceed to Robek's juice shop through Big 5 sporting goods.,F ( big_5_sporting_goods & F ( robeks_juice ) ),Los Angeles #2
Navigate to Big 5 Sporting Goods while passing through Robeks Juice,F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
Move to the juice shop followed by the sporting goods store.,F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
Nagivate to Robeks Fresh Juices & Smoothies and then move to Big 5 Sporting Goods.,F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
Go to Robeks Juice while on your way to Big 5 Sporting Goods,F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
First travel to Robeks Fresh Juices & Smoothies and then to Big 5 Sporting Goods.,F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
Head towards Robeks Huice and than navigate to Big 5 Sporting Goods.,F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
Stop at Robek's Juice befrore going east to Big 5 Sporting Goods.,F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
"Go to Robeks Fresh Juices & Smoothies, then head to Big 5 Sporting Goods.",F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
Go to the Smoothie shop and then head to the Sporting Goods store,F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
"Go down to Robeks Fresh Juices & Smoothies, then head over to Big 5 Sporting Goods.",F ( robeks_juice & F ( big_5_sporting_goods ) ),Los Angeles #2
Go to The Line then on to Robeks Juice.,F ( the_line & F ( robeks_juice ) ),Los Angeles #2
Go to The Line while on your way to Robeks Juice,F ( the_line & F ( robeks_juice ) ),Los Angeles #2
Go to Robeks Juice and stop by The Line along the way.,F ( the_line & F ( robeks_juice ) ),Los Angeles #2
Navigate to The Line and than head towards Robeks Juice.,F ( the_line & F ( robeks_juice ) ),Los Angeles #2
"Go to The Line, then go to Robeks Juice.",F ( the_line & F ( robeks_juice ) ),Los Angeles #2
Go straight to The Line and then head southeast to Robek's Juice.,F ( the_line & F ( robeks_juice ) ),Los Angeles #2
Go to The LINE Los Angeles and then to Robeks Fresh Juices & Smoothies.,F ( the_line & F ( robeks_juice ) ),Los Angeles #2
"Advance to The Line, then proceed to the Juice Store.",F ( the_line & F ( robeks_juice ) ),Los Angeles #2
Check in at the hotel and then go to get some juice at Robeks,F ( the_line & F ( robeks_juice ) ),Los Angeles #2
Go to The Line before heading to Robeks Juice.,F ( the_line & F ( robeks_juice ) ),Los Angeles #2
Avoid Robeks Juice while on your way to The Line,F ( the_line & ~ robeks_juice ),Los Angeles #2
Proceed to the 4-star hotel while avoiding the juice shop on the way.,F ( the_line & ~ robeks_juice ),Los Angeles #2
Avoid Robeks Fresh Juices & Smoothies on your way to The LINE Los Angeles.,F ( the_line & ~ robeks_juice ),Los Angeles #2
