pattern_type,props,utterance,true_ltl,old_output_ltl,old_is_correct,new_output_ltl,new_is_correct
strictly_ordered_visit,"['d', 'c', 'b', 'a']",visit d one time but not through c b or a and then visit c once but not through d b or a and then visit b once but not through d c or a and then visit a once but not through d c or b,& & U ! c d & U ! b c & U ! a b F a & U ! d U d U ! d c & U ! c U c U ! c b U ! b U b U ! b a,& & U! c d & U! b c & U! d b & U! a d F a & U! d U d U! d c & U! c U c U! c b & U! b U b U! b a,Syntax Error,& & U ! c d & U ! b c & U ! d b & U ! a d F a & U ! d U d U ! d c & U ! c U c U ! c b & U ! b U b U ! b a U ! a U a U ! a d,False
strictly_ordered_visit,"['d', 'c', 'b', 'h']",visit d one time but not through c b or h and then visit c once but not through d b or h and then visit b once but not through d c or h and then visit h once but not through d c or b,& & U ! c d & U ! b c & U ! h b F h & U ! d U d U ! d c & U ! c U c U ! c b U ! b U b U ! b h,& & U! c d & U! b c & U! d b & U! h d F h & U! d U d U! d c & U! c U c U! c b & U! b U b U! b h,Syntax Error,& & U ! c d & U ! b c & U ! d b & U ! h d F h & U ! d U d U ! d c & U ! c U c U ! c b & U ! b U b U ! b h U ! h U h U ! h d,False
strictly_ordered_visit,"['d', 'c', 'h', 'b']",visit d one time but not through c h or b and then visit c once but not through d h or b and then visit h once but not through d c or b and then visit b once but not through d c or h,& & U ! c d & U ! h c & U ! b h F b & U ! d U d U ! d c & U ! c U c U ! c h U ! h U h U ! h b,& & U! c d & U! h c & U! d h & U! b d F b & U! d U d U! d c & U! c U c U! c h & U! h U h U! h b,Syntax Error,& & U ! c d & U ! h c & U ! d h & U ! b d F b & U ! d U d U ! d c & U ! c U c U ! c h & U ! h U h U ! h b U ! b d,False
strictly_ordered_visit,"['d', 'h', 'a', 'c']",visit d one time but not through h a or c and then visit h once but not through d a or c and then visit a once but not through d h or c and then visit c once but not through d h or a,& & U ! h d & U ! a h & U ! c a F c & U ! d U d U ! d h & U ! h U h U ! h a U ! a U a U ! a c,& & U! h d & U! a h & U! d a & U! c d F c & U! d U d U! d h & U! h U h U! h a & U! a U a U! a c,Syntax Error,& & U ! h d & U ! a h & U ! d a & U ! c d F c & U ! d U d U ! d h & U ! h U h U ! h a & U ! a U a U ! a c U ! c U c U ! c d,False
strictly_ordered_visit,"['d', 'h', 'b', 'a']",visit d one time but not through h b or a and then visit h once but not through d b or a and then visit b once but not through d h or a and then visit a once but not through d h or b,& & U ! h d & U ! b h & U ! a b F a & U ! d U d U ! d h & U ! h U h U ! h b U ! b U b U ! b a,& & U! h d & U! b h & U! d b & U! a d F a & U! d U d U! d h & U! h U h U! h b & U! b U b U! b a,Syntax Error,& & U ! h d & U ! b h & U ! d b & U ! a d F a & U ! d U d U ! d h & U ! h U h U ! h b & U ! b U b U ! b a U ! a U a U ! a d,False
strictly_ordered_visit,"['d', 'h', 'b', 'c']",visit d one time but not through h b or c and then visit h once but not through d b or c and then visit b once but not through d h or c and then visit c once but not through d h or b,& & U ! h d & U ! b h & U ! c b F c & U ! d U d U ! d h & U ! h U h U ! h b U ! b U b U ! b c,& & U! h d & U! b h & U! d b & U! c d F c & U! d U d U! d h & U! h U h U! h b & U! b U b U! b c,Syntax Error,& & U ! h d & U ! b h & U ! d b & U ! c d F c & U ! d U d U ! d h & U ! h U h U ! h b & U ! b U b U ! b c U ! c U c U ! c d,False
strictly_ordered_visit,"['d', 'h', 'c', 'a']",visit d one time but not through h c or a and then visit h once but not through d c or a and then visit c once but not through d h or a and then visit a once but not through d h or c,& & U ! h d & U ! c h & U ! a c F a & U ! d U d U ! d h & U ! h U h U ! h c U ! c U c U ! c a,& & U! h d & U! c h & U! d c & U! a d F a & U! d U d U! d h & U! h U h U! h c & U! c U c U! c a,Syntax Error,& & U ! h d & U ! c h & U ! d c & U ! a d F a & U ! d U d U ! d h & U ! h U h U ! h c & U ! c U c U ! c a U ! a U a U ! a d,False
strictly_ordered_visit,"['d', 'h', 'c', 'b']",visit d one time but not through h c or b and then visit h once but not through d c or b and then visit c once but not through d h or b and then visit b once but not through d h or c,& & U ! h d & U ! c h & U ! b c F b & U ! d U d U ! d h & U ! h U h U ! h c U ! c U c U ! c b,& & U! h d & U! c h & U! d c & U! b d F b & U! d U d U! d h & U! h U h U! h c & U! c U c U! c b,Syntax Error,& & U ! h d & U ! c h & U ! d c & U ! b d F b & U ! d U d U ! d h & U ! h U h U ! h c & U ! c U c U ! c b U ! b U b U ! b d,False
strictly_ordered_visit,"['h', 'd', 'a', 'c']",visit h one time but not through d a or c and then visit d once but not through h a or c and then visit a once but not through h d or c and then visit c once but not through h d or a,& & U ! d h & U ! a d & U ! c a F c & U ! h U h U ! h d & U ! d U d U ! d a U ! a U a U ! a c,& & U! d h & U! a d & U! h a & U! c a F c & U! h U h U! h d & U! d U d U! d a & U! a U a U! a c,Syntax Error,& & U ! d h & U ! a d & U ! h a & U ! c a F c & U ! h U h U ! h d & U ! d U d U ! d a & U ! a U a U ! a c U ! c U c U ! c d,False
strictly_ordered_visit,"['a', 'd', 'c', 'b']",visit d but before visiting d you must visit a only after that visit c after visiting c visit b visit each location once,& & U ! d a & U ! c d & U ! b c F b & U ! a U a U ! a d & U ! d U d U ! d c U ! c U c U ! c b,& & U! d a & U! c d & U! b c F b & U! a U a U! a d & U! d U d U! d c & U! c U c U! c b,Syntax Error,& & U ! d a & U ! c d & U ! b c F b & U ! a U a U ! a d & U ! d U d U ! d c & U ! c U c U ! c b U ! b U b U ! b a,True
strictly_ordered_visit,"['a', 'd', 'c', 'h']",visit d but before visiting d you must visit a only after that visit c after visiting c visit h visit each location once,& & U ! d a & U ! c d & U ! h c F h & U ! a U a U ! a d & U ! d U d U ! d c U ! c U c U ! c h,& & U! d a & U! c d & U! h c F h & U! a U a U! a d & U! d U d U! d c & U! c U c U! c h,Syntax Error,& & U ! d a & U ! c d & U ! h c F h & U ! a U a U ! a d & U ! d U d U ! d c & U ! c U c U ! c h U ! h U h U ! h c,True
strictly_ordered_visit,"['b', 'a', 'c', 'd']",visit a but before visiting a you must visit b only after that visit c after visiting c visit d visit each location once,& & U ! a b & U ! c a & U ! d c F d & U ! b U b U ! b a & U ! a U a U ! a c U ! c U c U ! c d,& & U! a b & U! c a & U! d c F d & U! b U b U! b a & U! a U a U! a c & U! c U c U! c d,Syntax Error,& & U ! a b & U ! c a & U ! d c F d & U ! b U b U ! b a & U ! a U a U ! a c & U ! c U c U ! c d U ! d U d U ! d h,False
strictly_ordered_visit,"['b', 'a', 'c', 'h']",visit a but before visiting a you must visit b only after that visit c after visiting c visit h visit each location once,& & U ! a b & U ! c a & U ! h c F h & U ! b U b U ! b a & U ! a U a U ! a c U ! c U c U ! c h,& & U! a b & U! c a & U! h c F h & U! b U b U! b a & U! a U a U! a c & U! c U c U! c h,Syntax Error,& & U ! a b & U ! c a & U ! h c F h & U ! b U b U ! b a & U ! a U a U ! a c & U ! c U c U ! c h U ! h U h U ! h c,True
strictly_ordered_visit,"['b', 'c', 'a', 'd']",visit c but before visiting c you must visit b only after that visit a after visiting a visit d visit each location once,& & U ! c b & U ! a c & U ! d a F d & U ! b U b U ! b c & U ! c U c U ! c a U ! a U a U ! a d,& & U! c b & U! a c & U! d a F d & U! b U b U! b c & U! c U c U! c a & U! a U a U! a d,Syntax Error,& & U ! c b & U ! a c & U ! d a F d & U ! b U b U ! b c & U ! c U c U ! c a & U ! a U a U ! a d U ! d U d U ! d c,True
strictly_ordered_visit,"['b', 'c', 'a', 'h']",visit c but before visiting c you must visit b only after that visit a after visiting a visit h visit each location once,& & U ! c b & U ! a c & U ! h a F h & U ! b U b U ! b c & U ! c U c U ! c a U ! a U a U ! a h,& & U! c b & U! a c & U! h a F h & U! b U b U! b c & U! c U c U! c a & U! a U a U! a h,Syntax Error,& & U ! c b & U ! a c & U ! h a F h & U ! b U b U ! b c & U ! c U c U ! c a & U ! a U a U ! a h U ! h U h U ! h c,True
strictly_ordered_visit,"['b', 'd', 'a', 'c']",visit d but before visiting d you must visit b only after that visit a after visiting a visit c visit each location once,& & U ! d b & U ! a d & U ! c a F c & U ! b U b U ! b d & U ! d U d U ! d a U ! a U a U ! a c,& & U! d b & U! a d & U! c a F c & U! b U b U! b d & U! d U d U! d a & U! a U a U! a c,Syntax Error,& & U ! d b & U ! a d & U ! c a F c & U ! b U b U ! b d & U ! d U d U ! d a & U ! a U a U ! a c U ! c U c U ! c d,True
strictly_ordered_visit,"['b', 'd', 'a', 'h']",visit d but before visiting d you must visit b only after that visit a after visiting a visit h visit each location once,& & U ! d b & U ! a d & U ! h a F h & U ! b U b U ! b d & U ! d U d U ! d a U ! a U a U ! a h,& & U! d b & U! a d & U! h a F h & U! b U b U! b d & U! d U d U! d a & U! a U a U! a h,Syntax Error,& & U ! d b & U ! a d & U ! h a F h & U ! b U b U ! b d & U ! d U d U ! d a & U ! a U a U ! a h U ! h U h U ! h d,True
strictly_ordered_visit,"['b', 'd', 'c', 'a']",visit d but before visiting d you must visit b only after that visit c after visiting c visit a visit each location once,& & U ! d b & U ! c d & U ! a c F a & U ! b U b U ! b d & U ! d U d U ! d c U ! c U c U ! c a,& & U! d b & U! c d & U! a c F a & U! b U b U! b d & U! d U d U! d c & U! c U c U! c a,Syntax Error,& & U ! d b & U ! c d & U ! a c F a & U ! b U b U ! b d & U ! d U d U ! d c & U ! c U c U ! c a U ! a U a U ! a d,True
strictly_ordered_visit,"['b', 'd', 'c', 'h']",visit d but before visiting d you must visit b only after that visit c after visiting c visit h visit each location once,& & U ! d b & U ! c d & U ! h c F h & U ! b U b U ! b d & U ! d U d U ! d c U ! c U c U ! c h,& & U! d b & U! c d & U! h c F h & U! b U b U! b d & U! d U d U! d c & U! c U c U! c h,Syntax Error,& & U ! d b & U ! c d & U ! h c F h & U ! b U b U ! b d & U ! d U d U ! d c & U ! c U c U ! c h U ! h U h U ! h c,True
strictly_ordered_visit,"['b', 'h', 'a', 'c']",visit h but before visiting h you must visit b only after that visit a after visiting a visit c visit each location once,& & U ! h b & U ! a h & U ! c a F c & U ! b U b U ! b h & U ! h U h U ! h a U ! a U a U ! a c,& & U! h b & U! a h & U! c a F c & U! b U b U! b h & U! h U h U! h a & U! a U a U! a c,Syntax Error,& & U ! h b & U ! a h & U ! c a F c & U ! b U b U ! b h & U ! h U h U ! h a & U ! a U a U ! a c U ! c U c U ! c a,True
strictly_ordered_visit,"['b', 'h', 'a', 'd']",visit h but before visiting h you must visit b only after that visit a after visiting a visit d visit each location once,& & U ! h b & U ! a h & U ! d a F d & U ! b U b U ! b h & U ! h U h U ! h a U ! a U a U ! a d,& & U! h b & U! a h & U! d a F d & U! b U b U! b h & U! h U h U! h a & U! a U a U! a d,Syntax Error,& & U ! h b & U ! a h & U ! d a F d & U ! b U b U ! b h & U ! h U h U ! h a & U ! a U a U ! a d U ! d U d U ! d h,True
strictly_ordered_visit,"['b', 'h', 'c', 'a']",visit h but before visiting h you must visit b only after that visit c after visiting c visit a visit each location once,& & U ! h b & U ! c h & U ! a c F a & U ! b U b U ! b h & U ! h U h U ! h c U ! c U c U ! c a,& & U! h b & U! c h & U! a c F a & U! b U b U! b h & U! h U h U! h c & U! c U c U! c a,Syntax Error,& & U ! h b & U ! c h & U ! a c F a & U ! b U b U ! b h & U ! h U h U ! h c & U ! c U c U ! c a U ! a U a U ! a c,True
strictly_ordered_visit,"['b', 'h', 'c', 'd']",visit h but before visiting h you must visit b only after that visit c after visiting c visit d visit each location once,& & U ! h b & U ! c h & U ! d c F d & U ! b U b U ! b h & U ! h U h U ! h c U ! c U c U ! c d,& & U! h b & U! c h & U! d c F d & U! b U b U! b h & U! h U h U! h c & U! c U c U! c d,Syntax Error,& & U ! h b & U ! c h & U ! d c F d & U ! b U b U ! b h & U ! h U h U ! h c & U ! c U c U ! c d U ! d U d U ! d c,True
strictly_ordered_visit,"['c', 'b', 'a', 'd']",visit b but before visiting b you must visit c only after that visit a after visiting a visit d visit each location once,& & U ! b c & U ! a b & U ! d a F d & U ! c U c U ! c b & U ! b U b U ! b a U ! a U a U ! a d,& & U! b c & U! a b & U! d a F d & U! c U c U! c b & U! b U b U! b a & U! a U a U! a d,Syntax Error,& & U ! b c & U ! a b & U ! d a F d & U ! c U c U ! c b & U ! b U b U ! b a & U ! a U a U ! a d U ! d U d U ! d h,False
strictly_ordered_visit,"['c', 'b', 'a', 'h']",visit b but before visiting b you must visit c only after that visit a after visiting a visit h visit each location once,& & U ! b c & U ! a b & U ! h a F h & U ! c U c U ! c b & U ! b U b U ! b a U ! a U a U ! a h,& & U! b c & U! a b & U! h a F h & U! c U c U! c b & U! b U b U! b a & U! a U a U! a h,Syntax Error,& & U ! b c & U ! a b & U ! h a F h & U ! c U c U ! c b & U ! b U b U ! b a & U ! a U a U ! a h U ! h U h U ! h c,True
strictly_ordered_visit,"['c', 'b', 'd', 'a']",visit b but before visiting b you must visit c only after that visit d after visiting d visit a visit each location once,& & U ! b c & U ! d b & U ! a d F a & U ! c U c U ! c b & U ! b U b U ! b d U ! d U d U ! d a,& & U! b c & U! d b & U! a d F a & U! c U c U! c d U! d U d U! d b U! b U b U! b a,Syntax Error,& & U ! b c & U ! d b & U ! a d F a & U ! c U c U ! c d U ! d U d U ! d b,False
strictly_ordered_visit,"['c', 'b', 'd', 'h']",visit b but before visiting b you must visit c only after that visit d after visiting d visit h visit each location once,& & U ! b c & U ! d b & U ! h d F h & U ! c U c U ! c b & U ! b U b U ! b d U ! d U d U ! d h,& & U! b c & U! d b & U! h d F h & U! c U c U! c d U! d U d U! d b U! b U b U! b h,Syntax Error,& & U ! b c & U ! d b & U ! h d F h & U ! c U c U ! c d U ! d U d U ! d b,False
strictly_ordered_visit,"['c', 'd', 'a', 'b']",visit d but before visiting d you must visit c only after that visit a after visiting a visit b visit each location once,& & U ! d c & U ! a d & U ! b a F b & U ! c U c U ! c d & U ! d U d U ! d a U ! a U a U ! a b,& & U! d c & U! a d & U! b a F b & U! c U c U! c d & U! d U d U! d a & U! a U a U! a b,Syntax Error,& & U ! d c & U ! a d & U ! b a F b & U ! c U c U ! c d & U ! d U d U ! d a & U ! a U a U ! a b U ! b U b U ! b d,True
strictly_ordered_visit,"['c', 'd', 'a', 'h']",visit d but before visiting d you must visit c only after that visit a after visiting a visit h visit each location once,& & U ! d c & U ! a d & U ! h a F h & U ! c U c U ! c d & U ! d U d U ! d a U ! a U a U ! a h,& & U! d c & U! a d & U! h a F h & U! c U c U! c d & U! d U d U! d a & U! a U a U! a h,Syntax Error,& & U ! d c & U ! a d & U ! h a F h & U ! c U c U ! c d & U ! d U d U ! d a & U ! a U a U ! a h U ! h U h U ! h c,True
strictly_ordered_visit,"['c', 'h', 'a', 'b']",visit h but before visiting h you must visit c only after that visit a after visiting a visit b visit each location once,& & U ! h c & U ! a h & U ! b a F b & U ! c U c U ! c h & U ! h U h U ! h a U ! a U a U ! a b,& & U! h c & U! a h & U! b a F b & U! c U c U! c h & U! h U h U! h a & U! a U a U! a b,Syntax Error,& & U ! h c & U ! a h & U ! b a F b & U ! c U c U ! c h & U ! h U h U ! h a & U ! a U a U ! a b U ! b U b U ! b a,True
strictly_ordered_visit,"['c', 'h', 'a', 'd']",visit h but before visiting h you must visit c only after that visit a after visiting a visit d visit each location once,& & U ! h c & U ! a h & U ! d a F d & U ! c U c U ! c h & U ! h U h U ! h a U ! a U a U ! a d,& & U! h c & U! a h & U! d a F d & U! c U c U! c h & U! h U h U! h a & U! a U a U! a d,Syntax Error,& & U ! h c & U ! a h & U ! d a F d & U ! c U c U ! c h & U ! h U h U ! h a & U ! a U a U ! a d U ! d U d U ! d c,True
strictly_ordered_visit,"['d', 'a', 'c', 'h']",visit a but before visiting a you must visit d only after that visit c after visiting c visit h visit each location once,& & U ! a d & U ! c a & U ! h c F h & U ! d U d U ! d a & U ! a U a U ! a c U ! c U c U ! c h,& & U! a d & U! c a & U! h c F h & U! d U d U! d a & U! a U a U! a c & U! c U c U! c h,Syntax Error,& & U ! a d & U ! c a & U ! h c F h & U ! d U d U ! d a & U ! a U a U ! a c & U ! c U c U ! c h U ! h U h U ! h c,True
strictly_ordered_visit,"['d', 'b', 'a', 'c']",visit b but before visiting b you must visit d only after that visit a after visiting a visit c visit each location once,& & U ! b d & U ! a b & U ! c a F c & U ! d U d U ! d b & U ! b U b U ! b a U ! a U a U ! a c,& & U! b d & U! a b & U! c a F c & U! d U d U! d b & U! b U b U! b a & U! a U a U! a c,Syntax Error,& & U ! b d & U ! a b & U ! c a F c & U ! d U d U ! d b & U ! b U b U ! b a & U ! a U a U ! a c U ! c U c U ! c a,True
strictly_ordered_visit,"['d', 'b', 'a', 'h']",visit b but before visiting b you must visit d only after that visit a after visiting a visit h visit each location once,& & U ! b d & U ! a b & U ! h a F h & U ! d U d U ! d b & U ! b U b U ! b a U ! a U a U ! a h,& & U! b d & U! a b & U! h a F h & U! d U d U! d b & U! b U b U! b a & U! a U a U! a h,Syntax Error,& & U ! b d & U ! a b & U ! h a F h & U ! d U d U ! d b & U ! b U b U ! b a & U ! a U a U ! a h U ! h U h U ! h c,False
strictly_ordered_visit,"['d', 'b', 'c', 'h']",visit b but before visiting b you must visit d only after that visit c after visiting c visit h visit each location once,& & U ! b d & U ! c b & U ! h c F h & U ! d U d U ! d b & U ! b U b U ! b c U ! c U c U ! c h,& & U! b d & U! c b & U! h c F h & U! d U d U! d b & U! b U b U! b c & U! c U c U! c h,Syntax Error,& & U ! b d & U ! c b & U ! h c F h & U ! d U d U ! d b & U ! b U b U ! b c & U ! c U c U ! c h U ! h U h U ! h c,True
strictly_ordered_visit,"['d', 'h', 'a', 'c']",visit h but before visiting h you must visit d only after that visit a after visiting a visit c visit each location once,& & U ! h d & U ! a h & U ! c a F c & U ! d U d U ! d h & U ! h U h U ! h a U ! a U a U ! a c,& & U! h d & U! a h & U! c a F c & U! d U d U! d h & U! h U h U! h a & U! a U a U! a c,Syntax Error,& & U ! h d & U ! a h & U ! c a F c & U ! d U d U ! d h & U ! h U h U ! h a & U ! a U a U ! a c U ! c U c U ! c b,False
strictly_ordered_visit,"['d', 'h', 'c', 'a']",visit h but before visiting h you must visit d only after that visit c after visiting c visit a visit each location once,& & U ! h d & U ! c h & U ! a c F a & U ! d U d U ! d h & U ! h U h U ! h c U ! c U c U ! c a,& & U! h d & U! c h & U! a c F a & U! d U d U! d h & U! h U h U! h c & U! c U c U! c a,Syntax Error,& & U ! h d & U ! c h & U ! a c F a & U ! d U d U ! d h & U ! h U h U ! h c & U ! c U c U ! c a U ! a U a U ! a b,False
strictly_ordered_visit,"['d', 'h', 'c', 'b']",visit h but before visiting h you must visit d only after that visit c after visiting c visit b visit each location once,& & U ! h d & U ! c h & U ! b c F b & U ! d U d U ! d h & U ! h U h U ! h c U ! c U c U ! c b,& & U! h d & U! c h & U! b c F b & U! d U d U! d h & U! h U h U! h c & U! c U c U! c b,Syntax Error,& & U ! h d & U ! c h & U ! b c F b & U ! d U d U ! d h & U ! h U h U ! h c & U ! c U c U ! c b U ! b U b U ! b c,True
strictly_ordered_visit,"['h', 'a', 'c', 'd']",visit a but before visiting a you must visit h only after that visit c after visiting c visit d visit each location once,& & U ! a h & U ! c a & U ! d c F d & U ! h U h U ! h a & U ! a U a U ! a c U ! c U c U ! c d,& & U! a h & U! c a & U! d c F d & U! h U h U! h a & U! a U a U! a c & U! c U c U! c d,Syntax Error,& & U ! a h & U ! c a & U ! d c F d & U ! h U h U ! h a & U ! a U a U ! a c & U ! c U c U ! c d U ! d U d U ! d a,True
strictly_ordered_visit,"['h', 'b', 'a', 'c']",visit b but before visiting b you must visit h only after that visit a after visiting a visit c visit each location once,& & U ! b h & U ! a b & U ! c a F c & U ! h U h U ! h b & U ! b U b U ! b a U ! a U a U ! a c,& & U! b h & U! a b & U! c a F c & U! h U h U! h b & U! b U b U! b a & U! a U a U! a c,Syntax Error,& & U ! b h & U ! a b & U ! c a F c & U ! h U h U ! h b & U ! b U b U ! b a & U ! a U a U ! a c U ! c U c U ! c a,True
strictly_ordered_visit,"['h', 'b', 'c', 'a']",visit b but before visiting b you must visit h only after that visit c after visiting c visit a visit each location once,& & U ! b h & U ! c b & U ! a c F a & U ! h U h U ! h b & U ! b U b U ! b c U ! c U c U ! c a,& & U! b h & U! c b & U! a c F a & U! h U h U! h b & U! b U b U! b c & U! c U c U! c a,Syntax Error,& & U ! b h & U ! c b & U ! a c F a & U ! h U h U ! h b & U ! b U b U ! b c & U ! c U c U ! c a U ! a U a U ! a c,True
strictly_ordered_visit,"['h', 'b', 'c', 'd']",visit b but before visiting b you must visit h only after that visit c after visiting c visit d visit each location once,& & U ! b h & U ! c b & U ! d c F d & U ! h U h U ! h b & U ! b U b U ! b c U ! c U c U ! c d,& & U! b h & U! c b & U! d c F d & U! h U h U! h b & U! b U b U! b c & U! c U c U! c d,Syntax Error,& & U ! b h & U ! c b & U ! d c F d & U ! h U h U ! h b & U ! b U b U ! b c & U ! c U c U ! c d U ! d U d U ! d c,True
strictly_ordered_visit,"['h', 'b', 'd', 'a']",visit b but before visiting b you must visit h only after that visit d after visiting d visit a visit each location once,& & U ! b h & U ! d b & U ! a d F a & U ! h U h U ! h b & U ! b U b U ! b d U ! d U d U ! d a,& & U! b h & U! d b & U! a d F a & U! h U h U! h d U! d U d U! d b U! b U b U! b a,Syntax Error,& & U ! b h & U ! d b & U ! a d F a & U ! h U h U ! h d U ! d U d U ! d b,False
strictly_ordered_visit,"['h', 'd', 'a', 'b']",visit d but before visiting d you must visit h only after that visit a after visiting a visit b visit each location once,& & U ! d h & U ! a d & U ! b a F b & U ! h U h U ! h d & U ! d U d U ! d a U ! a U a U ! a b,& & U! d h & U! a d & U! b a F b & U! h U h U! h d & U! d U d U! d a & U! a U a U! a b,Syntax Error,& & U ! d h & U ! a d & U ! b a F b & U ! h U h U ! h d & U ! d U d U ! d a & U ! a U a U ! a b U ! b U b U ! b d,True
