Pattern Type,NProps,Utterance,True LTL,Out LTL,,
visit,2,Move through La Margarita and around on route to El Arado.,F & la_margarita_fountain_square F el_arado,F & la_margarita_fountain_square F el_arado,TRUE,TRUE
visit,2,"Your first stop is going to be La Margarita Fountain Square. After that, pass by PNC Bank and make your next stop at El Arado Mexican Grill.",F & la_margarita_fountain_square F el_arado,F & la_margarita_fountain_square F & pnc_bank F el_arado,FALSE,FALSE
visit,2,Navigate to PNC bank by avoiding El Arado restaurant,F & el_arado F pnc_bank,& U ! pnc_bank el_arado F pnc_bank,FALSE,TRUE
visit,2,Go past El Arado restaurant on the way to the PNC Bank directly to the left of it.,F & el_arado F pnc_bank,F & el_arado F pnc_bank,TRUE,TRUE
visit,2,Move to El Arado Mexican Grill on your way to PNC Bank.,F & el_arado F pnc_bank,F & el_arado F pnc_bank,TRUE,TRUE
visit,2,Move through El Arado on your path to the bank.,F & el_arado F pnc_bank,F el_arado,FALSE,FALSE
visit,2,Move to El Arado than to PNC Bank,F & el_arado F pnc_bank,F & el_arado F pnc_bank,TRUE,TRUE
visit,2,Go to El Arado on your way to PNC Bank.,F & el_arado F pnc_bank,F & el_arado F pnc_bank,TRUE,TRUE
visit,2,Go straight and through El Arado to arrive at PNC Bank.,F & el_arado F pnc_bank,& U ! el_arado pnc_bank F pnc_bank,FALSE,FALSE
visit,2,Make your first stop at El Arado before passing onto your next stop at PNC Bank.,F & el_arado F pnc_bank,U ! pnc_bank el_arado,FALSE,TRUE
visit,2,"First go to El Arado, then go to PNC Bank",F & el_arado F pnc_bank,F & el_arado F pnc_bank,TRUE,TRUE
visit,2,Stop at the El Arado Mexican Grill on the way to the PNC Bank.,F & el_arado F pnc_bank,F el_arado,FALSE,FALSE
visit,2,"Travel aross Virginia Avenue until PNC Bank is in front of you, then turn right and head for La Margarita Fountain Square on your left at the corner.",F & pnc_bank F la_margarita_fountain_square,U pure pnc_bank F la_margarita_fountain_square,Syntax Error,Syntax Error
visit,2,Go to PNC Bank and then go to La Margarita Fountain Square.,F & pnc_bank F la_margarita_fountain_square,F & pnc_bank F la_margarita_fountain_square,TRUE,TRUE
visit,2,"Navigate first to the bank, and then to La Margarita Fountain Square after.",F & pnc_bank F la_margarita_fountain_square,F & pnc_bank_drive_thru F la_margarita_fountain_square,FALSE,FALSE
visit,2,Move to PNC Bank and than move to Margarita fountain,F & pnc_bank F la_margarita_fountain_square,F & pnc_bank F la_margarita_fountain_square,TRUE,TRUE
visit,2,Head to the PNC bank and then to La Margarita Fountain Square and nowhere else,F & pnc_bank F la_margarita_fountain_square,& U ! la_margarita_fountain_square pnc_bank F la_margarita_fountain_square,FALSE,FALSE
visit,2,Move to the PNC Bank and then turn right to reach La Margarita Fountain Square.,F & pnc_bank F la_margarita_fountain_square,F & pnc_bank F la_margarita_fountain_square,TRUE,TRUE
visit,2,Stop at PNC Bank on your way to La Margarita Fountain Square.,F & pnc_bank F la_margarita_fountain_square,F pnc_bank,FALSE,FALSE
visit,2,Move forward then around PNC Bank on route to La Margarita Fountain.,F & pnc_bank F la_margarita_fountain_square,F & pnc_bank F la_margarita_fountain_square,TRUE,TRUE
visit,2,"Make your way to PNC Bank. After you're done, make your way to La Margarita Fountain Square.",F & pnc_bank F la_margarita_fountain_square,F & pnc_bank F la_margarita_fountain_square,TRUE,TRUE
visit,2,Navigate first to PNC Bank and then navigate again to La Margarita Fountain Square.,F & pnc_bank F la_margarita_fountain_square,F & pnc_bank F la_margarita_fountain_square,TRUE,TRUE
