Pattern Type,NProps,Utterance,True LTL,Out LTL,,
visit,2,Go to Commonwealth Animal Hospital while on your way to Zada Jane's Corner Cafe,F & commonwealth_animal_hospital F zada_janes,F & commonwealth_animal_hospital F zada_janes,TRUE,TRUE
visit,2,Go to Commonwealth Animal Hospital first then proceed to Zada Janes.,F & commonwealth_animal_hospital F zada_janes,F & commonwealth_animal_hospital F zada_janes,TRUE,TRUE
visit,2,"Please move to the Commonwealth Animal Hospital, and then to Zada Jane's Corner Cafe.",F & commonwealth_animal_hospital F zada_janes,F & commonwealth_animal_hospital F zada_janes,TRUE,TRUE
visit,2,Navigate to Zada Jane's Corner Cafe then go to the destination called Elizabeth Billiards.,F & zada_janes F elizabeth_billiards,F & zada_janes F elizabeth_billiards,TRUE,TRUE
visit,2,Navigate to Elizabeth Billiards while passing through the cafe.,F & zada_janes F elizabeth_billiards,F & zada_janes F elizabeth_billiards,TRUE,TRUE
visit,2,Turn right at Zada Jane's before heading to Elizabeth Billiards.,F & zada_janes F elizabeth_billiards,F & zada_janes F elizabeth_billiards,TRUE,TRUE
visit,2,"please move to Elizabeth Billiards, but first stop at Zada Jane's Corner Cafe for some food.",F & zada_janes F elizabeth_billiards,F & zada_janes A,FALSE,FALSE
visit,2,go by Zada Jane's on the way to Wlizabeth Billiards.,F & zada_janes F elizabeth_billiards,F & zada_janes W l,Syntax Error,Syntax Error
visit,2,"Travel to Zada Jane's, then go to Elizabeth Billiards.",F & zada_janes F elizabeth_billiards,F & zada_janes F elizabeth_billiards,TRUE,TRUE
visit,2,Pass over Pecan Avenue avoiding CVS on your right.,F & zada_janes F elizabeth_billiards,& U ! cvs cvs F cvs,FALSE,FALSE
visit,2,"Go to Zada Jane's Corner Cafe, then go to Elizabeth Billiards.",F & zada_janes F elizabeth_billiards,F & zada_janes F elizabeth_billiards,TRUE,TRUE
visit,2,Go by Zada Jane's Corner Café and then to Elizabeth Billiards.,F & zada_janes F elizabeth_billiards,F & zada_janes F elizabeth_billiards,TRUE,TRUE
visit,2,Go to Zada Jane's while on your way to Elizabeth Billiards,F & zada_janes F elizabeth_billiards,F & elizabeth_billiards F zada_janes,FALSE,FALSE
visit,2,Go down to Elizabeth Billards and then turn left to Commonwealth Animal Hospital.,F & elizabeth_billiards F commonwealth_animal_hospital,F & elizabeth_billiards F commonwealth_animal_hospital,TRUE,TRUE
visit,2,"Go to Elizabeth Billards, then continue to Commonwealth Animal Hospital.",F & elizabeth_billiards F commonwealth_animal_hospital,F & elizabeth_billiards F commonwealth_animal_hospital,TRUE,TRUE
visit,2,Go towards the pool hall then arrive at Commonwealth Animal shelter.,F & elizabeth_billiards F commonwealth_animal_hospital,F & elizabeth_billiards F commonwealth_animal_hospital,TRUE,TRUE
visit,2,Cross over Central Avenue in front of the Dairy Queen heading South West.,F & elizabeth_billiards F commonwealth_animal_hospital,F & common_market S W dairy_queen,Syntax Error,Syntax Error
visit,2,while navigating to the animal hospital go by Elizabeth Billiards.,F & elizabeth_billiards F commonwealth_animal_hospital,F commonwealth_animal_hospital | ! elizabeth_billiards,FALSE,FALSE
visit,2,"Lets go to Elizabeth Billiards, and then the Commonwealth Animal Hospital, please.",F & elizabeth_billiards F commonwealth_animal_hospital,F & elizabeth_billiards F commonwealth_animal_hospital,TRUE,TRUE
visit,2,Go to Elizabeth Billiards then navigate to Commonwealth Animal Hospital next.,F & elizabeth_billiards F commonwealth_animal_hospital,F & elizabeth_billiards F commonwealth_animal_hospital,TRUE,TRUE
visit,2,Navigate to Elizabeth Billiards before continuing to the animal hospital.,F & elizabeth_billiards F commonwealth_animal_hospital,U ! commonwealth_animal_hospital elizabeth_billiards,FALSE,FALSE
visit,2,Go to Elizabeth Billiards on your way to Commonwealth Animal Hospital.,F & elizabeth_billiards F commonwealth_animal_hospital,F & elizabeth_billiards F commonwealth_animal_hospital,TRUE,TRUE
visit,2,Go to Elizabeth Billiards on your way to Commonwealth Animal Hospital,F & elizabeth_billiards F commonwealth_animal_hospital,F & elizabeth_billiards F commonwealth_animal_hospital,TRUE,TRUE
