Type,Number of props,Utterance,Ground truth,Response,Success
strictly_ordered_visit,2,"you must visit TD Bank, exactly once while avoiding Taipan Bakery, then you can navigate to Taipan Bakery","('TD Bank', 'Taipan Bakery')",TD Bank | Taipan Bakery,True
strictly_ordered_visit,3,"visit Taipan Bakery, only once without visiting New Mandarin Court, then visit New Mandarin Court, one time without visiting Manhattan Bridge Arch, finally visit Manhattan Bridge Arch, in the future","('Taipan Bakery', 'New Mandarin Court', 'Manhattan Bridge Arch')",Taipan Bakery | New Mandarin Court | Manhattan Bridge Arch,True
strictly_ordered_visit,4,"visit NYPD 5 PCT, one time but not through Tinma Travel & Tours, oo35mm, or Hoy Wong Restaurant, and then visit Tinma Travel & Tours, once but not through NYPD 5 PCT, oo35mm, or Hoy Wong Restaurant, and then visit oo35mm, once but not through NYPD 5 PCT, Tinma Travel & Tours, or Hoy Wong Restaurant, and then visit Hoy Wong Restaurant, once but not through NYPD 5 PCT, Tinma Travel & Tours, or oo35mm","('NYPD 5 PCT', 'Tinma Travel & Tours', 'oo35mm', 'Hoy Wong Restaurant')",NYPD 5 PCT | Tinma Travel & Tours | oo35mm | Hoy Wong Restaurant,True
strictly_ordered_visit,5,"visit house of vegetarian, followed by visiting Penguin Ice Cream, then visit Bayard L. C. Pharmacy, IES Test Prep, and Tinma Travel & Tours, in this exact order visit all locations once","('house of vegetarian', 'Penguin Ice Cream', 'Bayard L. C. Pharmacy', 'IES Test Prep', 'Tinma Travel & Tours')",house of vegetarian | Penguin Ice Cream | Bayard L. C. Pharmacy | IES Test Prep | Tinma Travel & Tours,True
ordered_visit,2,"go to TD Bank, after going to Yaya Tea Garden, do not go to TD Bank, before","('Yaya Tea Garden', 'TD Bank')",TD Bank | Yaya Tea Garden,True
patrolling,1,"patrol Chase, repeatedly","('Chase',)",Chase,True
ordered_visit,4,"first go to Kung Fu Tea, while avoiding Penguin Ice Cream, then go to Penguin Ice Cream, while staying away from Tinma Travel & Tours, then go to Tinma Travel & Tours, while staying away from NYPD 5 PCT, then visit NYPD 5 PCT","('Kung Fu Tea', 'Penguin Ice Cream', 'Tinma Travel & Tours', 'NYPD 5 PCT')",Kung Fu Tea | Penguin Ice Cream | Tinma Travel & Tours | NYPD 5 PCT,True
ordered_visit,5,"ensure that you visit 186f Kepler, but only after Mott Street Optical, in turn only visit Mott Street Optical, after Yaya Tea Garden, only visit Yaya Tea Garden, after Tinma Travel & Tours, and only visit Tinma Travel & Tours, after NYPD 5 PCT","('NYPD 5 PCT', 'Tinma Travel & Tours', 'Yaya Tea Garden', 'Mott Street Optical', '186f Kepler')",186f Kepler | Mott Street Optical | Yaya Tea Garden | Tinma Travel & Tours | NYPD 5 PCT,True
patrolling,3,"keep visiting 186f Kepler, Tinma Travel & Tours, and Canal Street, an infinite number of times","('186f Kepler', 'Tinma Travel & Tours', 'Canal Street')",186f Kepler | Tinma Travel & Tours | Canal Street,True
patrolling,4,"do not go to New Mandarin Court, Sun's Organic Garden, Farreros Bakery, and Hoy Wong Restaurant, Sun's Organic Garden, finite number of times","(""Sun's Organic Garden"", 'Hoy Wong Restaurant', 'New Mandarin Court', 'Farreros Bakery')",New Mandarin Court | Sun's Organic Garden | Farreros Bakery | Hoy Wong Restaurant,True
patrolling,5,"visit Kung Fu Tea, TD Bank, Mahayanna Buddhist Center, Yaya Tea Garden, and Canal Street, with no limits","('Kung Fu Tea', 'TD Bank', 'Canal Street', 'Yaya Tea Garden', 'Mahayanna Buddhist Center')",Kung Fu Tea | TD Bank | Mahayanna Buddhist Center | Yaya Tea Garden | Canal Street,True
patrolling,2,"frequent oo35mm, and New ML Oro Jewelry, Inc., infinitely in any order","('oo35mm', 'New ML Oro Jewelry, Inc.')","oo35mm | New ML Oro Jewelry, Inc.",True
global_avoidance,1,"you can not go to Royal Seafood Restaurant, at any time","('Royal Seafood Restaurant',)",Royal Seafood Restaurant,True
global_avoidance,2,"always keep away from Keki Modern Cakes, and Sun's Organic Garden","('Keki Modern Cakes', ""Sun's Organic Garden"")",Keki Modern Cakes | Sun's Organic Garden,True
global_avoidance,3,"Keki Modern Cakes, Eastern States Buddhist Temple, and Yaya Tea Garden, should never be visited","('Keki Modern Cakes', 'Eastern States Buddhist Temple', 'Yaya Tea Garden')",Keki Modern Cakes | Eastern States Buddhist Temple | Yaya Tea Garden,True
global_avoidance,4,"never go to Taipan Bakery, never go to oo35mm, never go to Tinma Travel & Tours, and never go to Manhattan Bridge Arch","('Taipan Bakery', 'oo35mm', 'Tinma Travel & Tours', 'Manhattan Bridge Arch')",Taipan Bakery | oo35mm | Tinma Travel & Tours | Manhattan Bridge Arch,True
global_avoidance,5,"Royal Seafood Restaurant, Lucky Star Bamboo Depot, Hoy Wong Restaurant, TD Bank, and house of vegetarian, should never be reached","('Royal Seafood Restaurant', 'Lucky Star Bamboo Depot', 'Hoy Wong Restaurant', 'TD Bank', 'house of vegetarian')",Royal Seafood Restaurant | Lucky Star Bamboo Depot | Hoy Wong Restaurant | TD Bank | house of vegetarian,True
past_avoidance,2,"until you have gone to Sorbillo, you can not go to IES Test Prep","('IES Test Prep', 'Sorbillo')",Sorbillo | IES Test Prep,True
upper_restricted_avoidance,1,"visiting Kung Fu Tea, more than once is prohibited","('Kung Fu Tea',)",Kung Fu Tea,True
upper_restricted_avoidance,2,"visiting Mott Street Optical, more than twice is prohibited","('TD Bank', 'Mott Street Optical')",Mott Street Optical,False
upper_restricted_avoidance,3,"visiting Mott Street Optical, more than three times is prohibited","('Mahayanna Buddhist Center', 'Audrey Bakery & Cafe', 'Mott Street Optical')",Mott Street Optical,False
upper_restricted_avoidance,4,"visiting New World Hotel, more than four times is prohibited","('Bayard L. C. Pharmacy', 'Tinma Travel & Tours', 'Shanghai Dumpling', 'New World Hotel')",New World Hotel,False
upper_restricted_avoidance,5,"visiting Shanghai Dumpling, more than five times is prohibited","('Audrey Bakery & Cafe', 'New World Hotel', 'New ML Oro Jewelry, Inc.', 'Chase', 'Shanghai Dumpling')",Shanghai Dumpling,False
lower_restricted_avoidance,1,"make sure you visit Taipan Bakery, one or more times","('Taipan Bakery',)",Taipan Bakery,True
lower_restricted_avoidance,2,"make sure you visit New Green Bo, two or more times","('Oriental Culture Enterprises Co', 'New Green Bo')",New Green Bo,False
lower_restricted_avoidance,3,"make sure you visit Sun's Organic Garden, three or more times","('Hoy Wong Restaurant', 'IES Test Prep', ""Sun's Organic Garden"")",Sun's Organic Garden,False
lower_restricted_avoidance,4,"make sure you visit Manhattan Bridge Arch, four or more times","('Oriental Culture Enterprises Co', 'Keki Modern Cakes', 'house of vegetarian', 'Manhattan Bridge Arch')",Manhattan Bridge Arch,False
lower_restricted_avoidance,5,"make sure you visit Taipan Bakery, five or more times","('Citi Bike - Elizabeth St & Hester St', 'Joy Luck Palace', 'Lucky Star Bamboo Depot', ""Chinese Merchant's Association"", 'Taipan Bakery')",Taipan Bakery,False
exact_restricted_avoidance,1,"go to Keki Modern Cakes, once and do not visit it anymore","('Keki Modern Cakes',)",Keki Modern Cakes,True
exact_restricted_avoidance,2,"go to oo35mm, twice and do not visit it anymore","('Tinma Travel & Tours', 'oo35mm')",oo35mm,False
exact_restricted_avoidance,3,"go to Mott Street Optical, three times and do not visit it anymore","('IES Test Prep', 'Shanghai Asian Cruisine', 'Mott Street Optical')",Mott Street Optical,False
exact_restricted_avoidance,4,"go to NYPD 5 PCT, four times and do not visit it anymore","('Audrey Bakery & Cafe', 'New ML Oro Jewelry, Inc.', 'Royal Seafood Restaurant', 'NYPD 5 PCT')",NYPD 5 PCT,False
exact_restricted_avoidance,5,"go to Farreros Bakery, five times and do not visit it anymore","('Hoy Wong Restaurant', 'TD Bank', 'New Green Bo', 'Royal Seafood Restaurant', 'Farreros Bakery')",Farreros Bakery,False
future_avoidance,2,"once you go to The Bowery, you have to avoid New Green Bo, at all costs","('The Bowery', 'New Green Bo')",The Bowery | New Green Bo,True
delayed_reaction,2,"once you go to Shanghai Asian Cruisine, you must go to TD Bank","('Shanghai Asian Cruisine', 'TD Bank')",Shanghai Asian Cruisine | TD Bank,True
bound_delay,2,"you must visit Sun's Organic Garden, once you go to The Bowery, and you must avoid Sun's Organic Garden, any other time","('The Bowery', ""Sun's Organic Garden"")",Sun's Organic Garden | The Bowery,True
wait,2,"you must keep going on Hoy Wong Restaurant, until you get to Kung Fu Tea","('Hoy Wong Restaurant', 'Kung Fu Tea')",Hoy Wong Restaurant | Kung Fu Tea,True
prompt_reaction,2,"do not go to anywhere but oo35mm, once you visit Chinese Merchant's Association","(""Chinese Merchant's Association"", 'oo35mm')",oo35mm | Chinese Merchant's Association,True
