train_or_valid,pattern_type,nprops,utterances,true_ltl,output_ltl,is_correct
valid,sequenced_visit,5,go to a then go to b and then reach c then reach d and finally go to h,F & a F & b F & c F & d F h,F & a F & b F & c F & d F h,True
valid,sequenced_visit,5,visit a b c d and h in this order there can be other landmarks in between,F & a F & b F & c F & d F h,& F a & F b & F c & F d F h,False
valid,sequenced_visit,5,make sure a b c d and h are all visited in this order,F & a F & b F & c F & d F h,& F a & F b & F c & F d F h,False
valid,ordered_visit,2,do not visit b until you go to a,& U ! b a F b,& U ! b a F b,True
valid,ordered_visit,2,you must visit a first before going to b,& U ! b a F b,& U ! b a F b,True
valid,ordered_visit,2,first go to a while avoiding b then move to b,& U ! b a F b,& U ! b a F b,True
valid,ordered_visit,2,ensure that you do not reach b before going to a,& U ! b a F b,& U ! b a F b,True
valid,ordered_visit,3,reach c but not until you visit a and b and that specific order,& U ! b a & U ! c b F c,& U ! b a & U ! c b F c,True
valid,ordered_visit,3,do not go to c until you visit b and do not go to b until you visit a and make sure you visit c,& U ! b a & U ! c b F c,& U ! b a & U ! c b F c,True
valid,ordered_visit,3,do not visit c until visiting b do not visit b until visiting a,& U ! b a & U ! c b F c,& U ! b a & U ! c b F c,True
valid,ordered_visit,4,visit a b c d in that specific order,& U ! b a & U ! c b & U ! d c F d,F & a F & b F & c F d,False
valid,ordered_visit,4,visit a as many times as you want then visit b as many times but never visit a again then visit c as many times but never visit b again finally visit d,& U ! b a & U ! c b & U ! d c F d,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c,Syntax Error
valid,ordered_visit,4,visit a b c and d in this order without skipping any one of them,& U ! b a & U ! c b & U ! d c F d,& U ! b a & U ! c b & U ! d c F d & U ! a,Syntax Error
valid,ordered_visit,5,go to h not before going d do not go to d before going c do not go to c before going to b and do not go to before going to a,& U ! b a & U ! c b & U ! d c & U ! h d F h,& U ! b a & U ! c b & U ! d c & U ! h d F h,True
valid,ordered_visit,5,before visiting b c d and h visit an and never visit it again then visit b before c d and h and never visit it again do not visit d and h until you visit c never visit c again then visit d before h and never visit h again finally visit h,& U ! b a & U ! c b & U ! d c & U ! h d F h,& U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b & U b U !b c & U ! c U c U !c d U ! d U d U !d h,Syntax Error
valid,ordered_visit,5,visit a b c d and h in this order without skipping any one of them,& U ! b a & U ! c b & U ! d c & U ! h d F h,& U ! b a & U ! c b & U ! d c & U ! h d F h,True
valid,strictly_ordered_visit,2,only visit a once and do not visit b until you visit a,& & U ! b a F b U ! a U a U !a b,& & U ! b a F b U ! a U a U !a b,True
valid,strictly_ordered_visit,2,go to a exactly once while avoiding b then go to b,& & U ! b a F b U ! a U a U !a b,& & U ! b a F b U ! a U a U !a b,True
valid,strictly_ordered_visit,2,you must visit a exactly once while avoiding b then you can navigate to b,& & U ! b a F b U ! a U a U !a b,& & U ! b a F b U ! a U a U !a b,True
valid,strictly_ordered_visit,2,go to a and only then go to b without returning to a,& & U ! b a F b U ! a U a U !a b,& U ! b a F b,False
valid,strictly_ordered_visit,3,do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U b U !b c,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U b U !b c,True
valid,strictly_ordered_visit,3,visit a exactly once while avoiding b and c then visit b exactly once while avoiding c finally visit c,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U b U !b c,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U,Syntax Error
valid,strictly_ordered_visit,4,do not visit d until you visit c visit c only once do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U,Syntax Error
valid,strictly_ordered_visit,4,visit a then b then c and then d you can only visit each landmark once,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d,& & U ! b a & U ! c b & U ! d c F d,Syntax Error
valid,strictly_ordered_visit,5,visit a then b then c then d and then h visit each landmark only once,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h,& U ! b a & U ! c b & U ! d c & U ! h d F h,False
valid,strictly_ordered_visit,5,make your way to h only after going to d before that make your way to d only after going to c before that make your way to c only after going to b before that make your way to b only after going to a do not go back to the previous location you have visited while heading to the next,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h,True
valid,patrolling,1,keep visiting a,G F a,G F a,True
valid,patrolling,1,go to a an infinite number of times,G F a,G F a,True
valid,patrolling,1,please visit a infinitely often,G F a,G F a,True
valid,patrolling,1,frequent a infinitely,G F a,G F a,True
valid,patrolling,2,keep going to a and b in arbitrary order,& G F a G F b,& G F a G F b,True
valid,patrolling,2,make sure a and b are visited infinitely,& G F a G F b,& G F a G F b,True
valid,patrolling,3,frequent a b and c infinitely in any order,& G F a & G F b G F c,& G F a & G F b G F c,True
valid,patrolling,4,frequent a b c and d infinitely in any order,& G F a & G F b & G F c G F d,& G F a & G F b & G F c G F d,True
valid,patrolling,5,frequent a b c d and h infinitely in any order,& G F a & G F b & G F c & G F d G F h,& G F a & G F b & G F c & G F d G,Syntax Error
