train_or_valid,pattern_type,nprops,utterances,true_ltl,output_ltl,is_correct
valid,visit,2,go to a and b in an arbitrary order,& F a F b,& & & F & F & F F & F & F & F,Syntax Error
valid,patrolling,1,keep visiting a,G F a,& & & & & & & & &,Syntax Error
valid,patrolling,1,keep going to a,G F a,& & & & & & & & & &,Syntax Error
valid,patrolling,1,make sure you frequent a infinitely,G F a,& & & & & & & & & & & &,Syntax Error
valid,patrolling,1,do not stop visiting a,G F a,& & & & & & U b b b b,Syntax Error
valid,patrolling,1,make sure you visit a infinite times,G F a,& & & & & & & & & & & & &,Syntax Error
valid,visit,1,go to a,F a,& & & & & & & & &,Syntax Error
valid,visit,1,make sure you visit a at least once,F a,& & & & & & & & & & & & & U,Syntax Error
valid,visit,1,walk to a,F a,& & & & & & & & &,Syntax Error
valid,visit,1,make you way to a,F a,& & & & & & & & & & &,Syntax Error
valid,visit,1,head to a,F a,& & & & & & & & &,Syntax Error
valid,visit,1,go to a,F a,& & & & & & & & &,Syntax Error
valid,visit,1,reach a,F a,& & & & & & & &,Syntax Error
valid,visit,1,visit a,F a,& & & & & & & &,Syntax Error
valid,visit,1,find a,F a,& & & & & & b b,Syntax Error
valid,visit,1,approach a,F a,& & & & & & & &,Syntax Error
valid,visit,2,go to a and go to b,& F a F b,& & & F & F b F & F b F &,Syntax Error
valid,visit,2,visit a and b,& F a F b,& & & & & F b & F b,Syntax Error
valid,visit,2,reach a reach b,& F a F b,& & & & & & & & & &,Syntax Error
valid,visit,2,visit both a and b,& F a F b,& & & F b F b F b F b,False
valid,visit,2,find a and b,& F a F b,& & & & & U b b b b,Syntax Error
valid,visit,3,go to the following locations a b and c,& F a & F b F c,& & & & & F b & F b & F b & F,Syntax Error
valid,visit,3,reach a b and c,& F a & F b F c,& & & & & & & & & & &,Syntax Error
valid,visit,3,visit a b and c in any order,& F a & F b F c,& & & & & & F & F & F & & &,Syntax Error
valid,visit,3,find a b and c,& F a & F b F c,& & & & & & & & & & &,Syntax Error
valid,visit,3,visit all three locations a b and c,& F a & F b F c,& & & & & & & & & & & & & &,Syntax Error
valid,visit,4,go to a go to b got to c and go to d,& F a & F b & F c F d,& & & & & & & & U F b & U ! b & U ! b,Syntax Error
valid,visit,4,reach all the following locations a b c and d,& F a & F b & F c F d,& & & & & & & & & U b & U b & U,Syntax Error
valid,visit,4,visit a go to b reach c reach d,& F a & F b & F c F d,& & & & & & & & & & & & & & &,Syntax Error
valid,visit,4,visit a b c and d in no particular order,& F a & F b & F c F d,& & & & & & & & & F b & F b & F,Syntax Error
valid,visit,4,visit a b c and d the order is not important,& F a & F b & F c F d,& & & & U b & U F b & U F b & U F,Syntax Error
valid,visit,5,go to a go to b go to c go to d go to h,& F a & F b & F c & F d F h,& & & & & & & & & U ! b & U ! b & U ! b &,Syntax Error
valid,visit,5,visit a b c d h in any order required,& F a & F b & F c & F d F h,& & & & & & & & & & & & & & & &,Syntax Error
valid,visit,5,visit all locations a b c d h,& F a & F b & F c & F d F h,& & & & & & & & & & & & & &,Syntax Error
valid,visit,5,reach the following five locations a b c d h,& F a & F b & F c & F d F h,& & & & & & & & & & & & & U b &,Syntax Error
valid,visit,5,find the following a b c d h,& F a & F b & F c & F d F h,& & & & & & & & U b & U b &,Syntax Error
valid,visit,3,please visit a b and c in any order,& F a & F b F c,& & & & & & & F & F & & & & &,Syntax Error
valid,visit,3,go to a b and c,& F a & F b F c,& & & & & F b F & F b &,Syntax Error
valid,visit,3,when you have the chance can you go to a c and b,& F a & F b F c,& & & U F b & F b & U F b & U F b & U,Syntax Error
valid,visit,3,you must go to c a and b at least once,& F a & F b F c,& & & & & & U F b & F b & U F b &,Syntax Error
valid,visit,3,go to all of a b and c,& F a & F b F c,& & & & & & & & & & U b & U,Syntax Error
valid,visit,4,go to a b c and d in arbitrary order,& F a & F b & F c F d,& & & & & & F & F & F & & & & &,Syntax Error
valid,visit,4,visit a b c and d,& F a & F b & F c F d,& & & & & & & & & & & &,Syntax Error
valid,visit,4,make sure a b c and d are all visited,& F a & F b & F c F d,& & & & & & & & & & & U b & U F,Syntax Error
valid,visit,4,do not stop until a b c and d are all visited,& F a & F b & F c F d,& & & & U b & U b & U b & U b & U F,Syntax Error
valid,visit,4,make your way to a b c and d,& F a & F b & F c F d,& & & & & & & & & & & & & & &,Syntax Error
valid,visit,5,go to a b c d and h in arbitrary order,& F a & F b & F c & F d F h,& & & & & & F & F & & & U F & U F,Syntax Error
valid,visit,5,visit a b c d and h,& F a & F b & F c & F d F h,& & & & & & & & & & & & &,Syntax Error
valid,visit,5,make sure a b c d and h are all visited,& F a & F b & F c & F d F h,& & & & & & & & U F b & U b & U F,Syntax Error
valid,visit,5,do not stop until a b c d and h are all visited,& F a & F b & F c & F d F h,& & & & U b & U F b & U b & U F b & U,Syntax Error
valid,visit,5,make your way to a b c d and h,& F a & F b & F c & F d F h,& & & & & & & & & U & U b & U &,Syntax Error
valid,patrolling,1,never stop visiting a,G F a,& & & & & & & & & &,Syntax Error
valid,patrolling,1,make sure a is visited infinitely,G F a,& & & & & & & & & & & b,Syntax Error
valid,patrolling,1,visit a as many times as you can,G F a,& & & & U b F b F b & F b &,Syntax Error
valid,patrolling,1,frequent a infinitely,G F a,& & & & & & & & &,Syntax Error
valid,patrolling,1,please keep visiting a without stopping,G F a,& & & & & U & U a & U b,Syntax Error
valid,patrolling,2,never stop visiting a and b,& G F a G F b,& & & & & & & & & U F b,Syntax Error
valid,patrolling,2,frequent a and b infinitely in any order,& G F a G F b,& & & & & & F & F b & F b &,Syntax Error
valid,patrolling,2,visit a and b as many times as you can,& G F a G F b,& & & U F b F b F b F b & U F b,Syntax Error
valid,patrolling,2,keep going to a and b in arbitrary order,& G F a G F b,& & & & & & & F b & F b & F b,Syntax Error
valid,patrolling,2,please keep visiting a and b without stopping,& G F a G F b,& & & & U F b & U F b & U F,Syntax Error
valid,patrolling,3,never stop visiting a b and c,& G F a & G F b G F c,& & & & & & & & & & & & &,Syntax Error
valid,patrolling,3,frequent a b and c infinitely in any order,& G F a & G F b G F c,& & & & & & & & & & & & & & &,Syntax Error
valid,patrolling,3,please keep visiting a b and c without stopping,& G F a & G F b G F c,& & & & U F & U F & U F b & U,Syntax Error
valid,patrolling,3,make sure a b and c are visited infinitely,& G F a & G F b G F c,& & & & & & & & & & & U F b &,Syntax Error
valid,patrolling,3,keep visiting a b and c in any order,& G F a & G F b G F c,& & & & & & U F & U F b & U F,Syntax Error
valid,patrolling,4,never stop visiting a b c and d,& G F a & G F b & G F c G F d,& & & & & & & & & & & & & &,Syntax Error
valid,patrolling,4,frequent a b c and d infinitely in any order,& G F a & G F b & G F c G F d,& & & & & & & & & & & & & & & &,Syntax Error
valid,patrolling,4,please keep visiting a b c and d without stopping,& G F a & G F b & G F c G F d,& & & & U & U F & U & U & U & U,Syntax Error
valid,patrolling,4,make sure a b c and d are visited infinitely,& G F a & G F b & G F c G F d,& & & & & & & & & & & U b & U F,Syntax Error
valid,patrolling,4,keep visiting a b c and d in any order,& G F a & G F b & G F c G F d,& & & & & & & U F & U F & U & U,Syntax Error
valid,patrolling,5,never stop visiting a b c d and h,& G F a & G F b & G F c & G F d G F h,& & & & & & & & U F b & U b &,Syntax Error
valid,patrolling,5,frequent a b c d and h infinitely in any order,& G F a & G F b & G F c & G F d G F h,& & & & & & & & & & & & & & U & U,Syntax Error
valid,patrolling,5,please keep visiting a b c d and h without stopping,& G F a & G F b & G F c & G F d G F h,& & & U & U F & U F b & U & U & U,Syntax Error
valid,patrolling,5,make sure a b c d and h are visited infinitely,& G F a & G F b & G F c & G F d G F h,& & & & & & & & U F b & U F b & U,Syntax Error
valid,patrolling,5,keep visiting a b c d h in any order,& G F a & G F b & G F c & G F d G F h,& & & & & & & U F & U F & U & U,Syntax Error
valid,visit,1,go to a,F a,& & & & & & & & &,Syntax Error
valid,visit,1,visit a,F a,& & & & & & & &,Syntax Error
valid,visit,1,stop by a,F a,& & & & & & & & &,Syntax Error
valid,visit,2,move to a and b,& F a F b,& & & & U F b F b F b,Syntax Error
valid,visit,2,go to a and b,& F a F b,& & & & F b F b F b F,Syntax Error
valid,visit,2,stop by a and b,& F a F b,& & & & & & & & & & &,Syntax Error
valid,visit,4,move to abcand d in any order,& F a & F b & F c F d,& & & & & & & & & & & & &,Syntax Error
valid,visit,4,visit abc and d in any order,& F a & F b & F c F d,& & & & & & & & & & & & &,Syntax Error
valid,visit,4,stop by abc and d in any order,& F a & F b & F c F d,& & & & & & & & & & & & & &,Syntax Error
valid,visit,4,move to abc and d in any order,& F a & F b & F c F d,& & & & & & & U F & U F b &,Syntax Error
valid,visit,4,stop by abc and d in any order,& F a & F b & F c F d,& & & & & & & & & & & & & &,Syntax Error
valid,visit,4,visit abc and d in any order,& F a & F b & F c F d,& & & & & & & & & & & & &,Syntax Error
valid,visit,3,move to abc in any order,& F a & F b F c,& & & & & & & & & U F b,Syntax Error
valid,visit,3,stop by abc in any order,& F a & F b F c,& & & & & & & & & & & &,Syntax Error
valid,visit,3,visit abc in any order,& F a & F b F c,& & & & & & & & & & &,Syntax Error
